Dataset,Category,Total_Count,Average_Per_Year
highres-future,Tropical Depression + Tropical Storm,69,1.9166666666666667
highres-future,Category 1-2,19,0.5277777777777778
highres-future,Category 3-5,7,0.19444444444444445
highresSST-future,Tropical Depression + Tropical Storm,37,1.0277777777777777
highresSST-future,Category 1-2,5,0.1388888888888889
highresSST-future,Category 3-5,5,0.1388888888888889
highresSST-present,Tropical Depression + Tropical Storm,50,0.7692307692307693
highresSST-present,Category 1-2,8,0.12307692307692308
highresSST-present,Category 3-5,2,0.03076923076923077
hist-1950,Tropical Depression + Tropical Storm,126,1.9384615384615385
hist-1950,Category 1-2,45,0.6923076923076923
hist-1950,Category 3-5,15,0.23076923076923078
