longitude_latitude,return_level
120.65055188710535_14.05006426866001,472.8097341364637
120.55055142967717_14.65006701322912,369.3080379596006
123.95056698223546_7.850035908112533,119.82980694740446
124.95057155651732_10.15004642896079,360.79737766987233
125.65057475851461_10.250046886388976,512.0506288379956
125.35057338623005_6.150028131833386,154.29154704095623
125.35057338623005_7.550034535827978,294.3747781141617
124.35056881194821_8.250037737825274,165.5848415158532
125.25057292880187_6.850031333830682,149.91224980801883
125.35057338623005_6.550029961546127,96.01848095875201
124.95057155651732_5.9500272169770145,110.85167941921833
126.05057658822736_8.550039110109829,427.3343276114412
123.95056698223546_12.050055120096307,283.74171461950976
123.05056286538179_10.050045971532606,343.5535444657843
125.7505752159428_7.450034078399792,211.01171964035203
123.25056378023817_10.850049630958086,309.04071650653316
124.45056926937639_11.450052375527196,431.5028460209437
125.35057338623005_8.650039567538014,287.23246477496747
120.15054959996442_15.350070215226417,538.0688978023347
121.95055783367177_18.1500830232156,428.7494647026049
122.45056012081268_16.850077076649193,463.2367170580321
121.35055508910266_14.85006792808549,214.20171395589574
125.85057567337098_9.250042312107125,369.1223463881416
123.85056652480728_8.250037737825274,173.78673631594768
123.45056469509454_13.25006060923453,445.32335873671946
126.25057750308372_8.850040482394384,505.20432566773104
122.3505596633845_16.75007661922101,467.97906112973953
120.45055097224899_14.85006792808549,345.68477290437784
120.3505505148208_15.250069757798233,403.46742427365785
121.35055508910266_17.250078906361935,696.2187353242273
124.35056881194821_6.550029961546127,104.77733752906832
121.85055737624357_16.250074332080082,492.67358712518444
125.25057292880187_7.550034535827978,25172.66456974041
123.95056698223546_10.850049630958086,433.56221634921485
125.0505720139455_7.2500331635434225,139.326050425616
125.85057567337098_8.250037737825274,251.0942431776234
125.25057292880187_12.250056034952678,397.08493968582945
121.15055417424628_14.65006701322912,293.3310660609736
125.45057384365825_7.2500331635434225,239.75424028413192
120.55055142967717_17.150078448933748,933.2410347289302
121.65055646138721_18.250083480643784,567.4188946206
122.15055874852813_17.55008027864649,347.25659444257343
126.05057658822736_8.350038195253457,297.72842772188716
122.25055920595632_16.550075704364637,382.18512516833323
121.95055783367177_16.75007661922101,496.3221169414819
117.6505381642598_8.95004093982257,209.83920062688662
124.85057109908912_10.950050088386272,381.8515560210522
125.0505720139455_8.350038195253457,241.08934954792292
125.45057384365825_12.150055577524494,399.1152816373542
124.15056789709183_6.450029504117941,99.45938699614551
122.15055874852813_16.450075246936454,357.1678755411223
121.85055737624357_16.35007478950827,514.0526998544201
125.55057430108643_9.050041397250753,431.5585399243888
117.95053953654435_9.150041854678939,223.85433456658075
119.95054868510806_11.850054205239939,469.4203284463402
