longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_250years,return_level_500years,return_level_1000years
122.15055874852813_14.05006426866001,371.61511227010055,409.477879928615,418.69232115909983,422.2452768885496,423.84238893855354,424.2310687956625,424.38093814646675
122.05055829109995_17.75008119350286,331.1544758213446,347.3183825200225,349.7544691746395,350.3903682115171,350.57694194887364,350.60506075703984,350.6124006942285
119.45054639796713_10.650048716101717,183.29166899756558,209.36893648953526,229.09562782231282,248.82231915509038,274.89958664706,294.6262779798376,314.3529693126152
122.05055829109995_7.2500331635434225,120.39505613598696,150.3158877327783,172.95012306865772,195.58435840453714,225.50519000132846,248.13942533720788,270.7736606730873
124.85057109908912_6.450029504117941,76.47685882994503,78.88842227822036,79.23129207092629,79.31668056963733,79.34049013965193,79.34387532213226,79.34471837000643
121.65055646138721_17.450079821218306,308.9349475545927,383.7951645660969,440.42473261978347,497.05430067347004,571.9145176849742,628.5440857386608,685.1736537923473
123.15056332280999_9.450043226963494,177.15363382751474,206.29598517970874,228.34132294422392,250.3866607087391,279.5290120609331,301.5743498254483,323.6196875899635
119.95054868510806_15.950072959795527,623.9820466396054,648.8950544590657,649.8310303520336,649.9122675468143,649.9196835023929,649.9199621181142,649.9199863003179
120.25055005739262_15.850072502367343,370.1185833235418,507.44911850115807,611.3356579496731,715.222197398188,852.5527325758042,956.439272024319,1060.3258114728342
123.35056423766635_7.450034078399792,98.24840476063056,116.54104923547703,130.37890058729744,144.2167519391178,162.50939641396428,176.3472477657847,190.18509911760506
123.95056698223546_13.750062896375455,492.4177511639226,561.9013264107404,575.3264750534152,579.6129392056359,581.1789836324067,581.4815641938666,581.5781739793056
125.0505720139455_6.2500285892615715,82.26622200945624,91.81650369367699,94.43212568623173,95.54362823156458,96.10001061999796,96.25239209518114,96.31714625232226
124.95057155651732_11.850054205239939,366.2134347962291,389.5994919612412,394.7883721277528,396.64315821674086,397.4101427394851,397.58032066858226,397.64115145391804
122.95056240795361_8.050036822968902,121.95272654287982,161.06312908844637,190.64900648739751,220.2348838863486,259.34528643191516,288.9311638308663,318.51704122981744
122.25055920595632_11.650053290383568,270.60842630668844,340.3694870966613,393.1416923775522,445.91389765844303,515.6749584484159,568.4471637293068,621.2193690101976
121.25055463167446_13.150060151806343,235.87297696246654,250.93261744049326,262.32479568095187,273.7169739214105,288.7766143994372,300.16879263989586,311.56097088035443
125.45057384365825_11.350051918099012,367.2806876946234,405.79173185272157,417.6766473624016,423.25098821864697,426.3650467698485,427.32607817219866,427.7768274102469
121.35055508910266_16.1500738746519,267.6193417529114,291.10070727719443,374.9308675923886,710.1337227656838,3055.5314130800407,11428.76951026868,44909.95702882258
123.35056423766635_10.450047801245345,209.56369195030157,231.4228083951982,236.52495178670034,238.42600407522227,239.24886676738333,239.4409314126999,239.51249446091438
126.35057796051191_7.350033620971606,185.20345064418686,206.33570608245964,210.10802699617955,211.23739887225076,211.62200309646516,211.69065883284634,211.71121325002696
120.25055005739262_15.050068842941862,339.2800454889453,365.0828520386555,371.1988305960282,373.5065561005053,374.5194296468938,374.75950868167274,374.850097048923
121.15055417424628_16.550075704364637,396.6647988546086,526.372163395738,624.4919968744125,722.6118303530868,852.3191948942163,950.4390283728907,1048.5588618515653
120.45055097224899_17.450079821218306,417.8073912614032,520.0463749826902,597.3871805202245,674.7279860577589,776.9669697790457,854.3077753165803,931.6485808541147
124.65057018423276_6.850031333830682,83.49815851864372,94.08165126286218,97.07067297434853,98.37346086695462,99.04420650530321,99.23364049693174,99.31620674587977
124.55056972680457_7.750035450684347,127.69620407803708,140.06681454861166,141.67496784813318,142.04760765236466,142.14373343388536,142.1562295829711,142.15912517914984
124.25056835452001_13.750062896375455,650.2795344396473,721.3984473699638,731.0580101609569,733.3766418971147,733.9979412707961,734.0823278293752,734.1025835445728
122.55056057824088_10.950050088386272,244.3942683410277,317.99743588074756,373.67608271818494,429.35472955562227,502.9578970953421,558.6365439327794,614.3151907702169
121.25055463167446_18.050082565787417,425.0433478922897,486.5584701764942,503.84386144982545,511.34634883594777,515.1911113936537,516.2714672914435,516.7403809751155
126.35057796051191_7.550034535827978,185.36907652999668,206.82917924164911,211.44549789849052,213.05434315347634,213.7013584536146,213.84053899908645,213.8890451739877
125.25057292880187_8.250037737825274,159.95372409298122,196.3002282243849,223.7952971861356,251.29036614788623,287.63687027928995,315.1319392410406,342.6270082027912
126.05057658822736_7.150032706115237,168.68949576287093,190.1031914281961,194.94743149975895,196.70671539923836,197.44701851029401,197.61449104991198,197.67531209474097
122.95056240795361_11.150051003242641,353.68914420533025,419.2608810637255,437.39877438266785,445.1698049901869,449.095238604856,450.1810584953252,450.6462690605608
125.15057247137369_7.550034535827978,93.29789229029268,150.98419304290064,1228.6621469411675,22037.185720951034,1099120.4376091824,21220862.68714183,409744861.3780132
123.45056469509454_9.55004368439168,177.8969622732994,202.97030905046586,209.96917203135507,212.99033797228662,214.52919109769402,214.95873974423722,215.14416096829217
123.25056378023817_7.750035450684347,153.96003265429613,171.22659937578555,175.3876189189015,176.97917220237696,177.68826713940177,177.8591498596598,177.92451099331893
122.15055874852813_7.350033620971606,118.11733294385365,134.02917959273543,146.066026914781,158.10287423682658,174.01472088570836,186.05156820775392,198.0884155297995
121.35055508910266_17.75008119350286,363.7435431984802,465.87018954197833,543.1260151337628,620.3818407255474,722.5084870690454,799.7643126608299,877.0201382526144
126.05057658822736_7.9500363655407185,225.2842452925342,259.0630043445054,267.00634236608994,269.9841751639024,271.28183554031943,271.58699047485203,271.7013882721
123.45056469509454_10.050045971532606,227.06857234255256,283.6563062990798,297.54876561399044,302.94412697583175,305.3887493505059,305.9889115147405,306.22199420214315
120.15054959996442_15.750072044939158,449.21468598458426,532.9776937990791,556.5423035036646,566.7801328330693,572.0323217441301,573.509892631484,574.151834881174
125.65057475851461_8.050036822968902,196.33454608117927,228.25673988724168,252.40494728938666,276.55315469153163,308.47534849759404,332.62355589973896,356.77176330188394
123.7505660673791_12.45005694980905,290.1153758915852,319.6404622637782,341.97532789405193,364.31019352432565,393.83527989651867,416.17014552679245,438.5050111570662
120.75055234453355_15.950072959795527,376.2297073806219,454.34422404670227,513.4355747549541,572.5269254632059,650.6414421292862,709.732792837538,768.8241435457899
123.25056378023817_10.850049630958086,243.27054716847098,289.9015142988282,301.90327364775777,306.7488923239473,309.04071650653316,309.6305803674426,309.8687333963222
121.45055554653084_16.050073417223715,267.6558395474279,326.7664866214441,371.4819649463471,416.1974432712501,475.30809034526624,520.0235686701693,564.7390469950723
125.7505752159428_11.050050545814457,295.2831369366208,358.63712823612366,406.5625725507791,454.4880168654345,517.8420081649374,565.7674524795927,613.6928967942482
121.85055737624357_18.250083480643784,327.56347118531016,391.11134780992853,439.1834607110717,487.2555736122148,550.8034502368331,598.8755631379763,646.9476760391194
