latitude,longitude,max_wind_speed
22.5,113.0,6.062579
22.5,113.1,6.0687523
22.5,113.2,6.1980524
22.5,113.3,6.476871
22.5,113.4,6.7026787
22.5,113.5,6.965121
22.5,113.9,7.409217
22.5,114.1,6.5297494
22.5,114.2,6.6746497
22.5,114.3,7.352173
22.5,120.5,2.9754486
22.5,120.6,2.8497152
22.5,120.7,3.490184
22.5,120.8,4.222748
22.5,120.9,5.065683
22.4,113.0,6.061557
22.4,113.1,6.1312428
22.4,113.2,6.2534733
22.4,113.3,6.587351
22.4,113.4,6.9290066
22.4,113.5,7.230964
22.4,113.6,7.564508
22.4,114.0,7.0033984
22.4,114.1,6.8753185
22.4,114.2,7.366898
22.4,114.3,8.308889
22.4,120.7,4.9715214
22.4,120.8,5.736482
22.3,113.0,6.521167
22.3,113.1,6.623139
22.3,113.2,6.7706904
22.3,113.3,7.110247
22.3,113.4,7.4742436
22.3,113.5,7.7462497
22.3,113.9,8.112972
22.3,114.2,7.9613953
22.3,120.7,7.3089423
22.3,120.8,8.048031
22.2,113.0,7.3620253
22.2,113.1,7.733779
22.2,113.2,7.9041443
22.2,113.3,8.240761
22.2,113.4,8.579915
22.2,113.5,8.885775
22.2,120.7,10.522242
22.2,120.8,11.471352
22.1,113.2,8.925236
22.1,113.3,9.451771
22.1,120.7,13.811498
22.1,120.8,14.827354
22.0,113.0,8.294382
22.0,113.2,9.685341
22.0,120.8,17.003729
19.4,121.4,16.730963
19.4,121.5,16.614357
18.9,121.9,15.997801
18.6,120.8,13.055245
18.6,120.9,12.344164
18.6,121.1,11.228611
18.6,121.2,10.933128
18.5,120.7,10.528424
18.5,120.8,9.58169
18.5,120.9,8.240217
18.5,121.0,7.748856
18.5,121.1,7.7686257
18.5,121.2,7.574627
18.5,121.3,7.8306603
18.5,122.2,15.191795
18.4,120.6,8.984729
18.4,120.7,7.7179737
18.4,120.8,6.362214
18.4,120.9,5.043612
18.4,121.0,4.7182693
18.4,121.1,4.558725
18.4,121.2,4.5894737
18.4,121.3,5.2905045
18.4,121.4,6.8706217
18.4,121.5,8.138938
18.4,121.6,9.822057
18.4,122.1,13.86375
18.4,122.2,14.327074
18.4,122.3,14.372313
18.3,120.7,6.6843657
18.3,120.8,5.7311273
18.3,120.9,4.6165056
18.3,121.0,4.1373944
18.3,121.1,3.91227
18.3,121.2,3.6802633
18.3,121.3,4.0215464
18.3,121.4,5.3034086
18.3,121.5,7.0159335
18.3,121.6,8.928484
18.3,121.7,10.302704
18.3,122.1,11.203008
18.3,122.2,11.736747
18.3,122.3,12.237693
18.2,120.5,9.77714
18.2,120.6,7.770708
18.2,120.7,5.8007393
18.2,120.8,5.134442
18.2,120.9,4.501841
18.2,121.0,3.891943
18.2,121.1,3.3860261
18.2,121.2,3.1553416
18.2,121.3,3.5012689
18.2,121.4,4.187111
18.2,121.5,5.53678
18.2,121.6,7.0224104
18.2,121.7,7.462621
18.2,121.8,7.7747455
18.2,121.9,7.833919
18.2,122.0,7.9184275
18.2,122.1,8.098525
18.2,122.2,9.9093075
18.1,120.5,10.058984
18.1,120.6,7.041693
18.1,120.7,4.999734
18.1,120.8,4.583364
18.1,120.9,4.2917414
18.1,121.0,3.7471387
18.1,121.1,3.1006377
18.1,121.2,2.797734
18.1,121.3,3.194572
18.1,121.4,3.7776504
18.1,121.5,4.2779512
18.1,121.6,4.498776
18.1,121.7,4.8625264
18.1,121.8,5.151629
18.1,121.9,5.1918087
18.1,122.0,5.3099937
18.1,122.1,6.507791
18.1,122.2,8.232397
18.0,120.6,6.5018597
18.0,120.7,4.9222174
18.0,120.8,4.536311
18.0,120.9,4.6401443
18.0,121.0,4.1837425
18.0,121.1,3.2576098
18.0,121.2,2.984755
18.0,121.3,3.349639
18.0,121.4,3.7946882
18.0,121.5,4.0797772
18.0,121.6,3.6517828
18.0,121.7,3.702169
18.0,121.8,3.955762
18.0,121.9,3.9584885
18.0,122.0,4.1764603
18.0,122.1,5.920336
17.9,120.5,8.7152
17.9,120.6,5.964559
17.9,120.7,4.8839636
17.9,120.8,4.8648653
17.9,120.9,5.256148
17.9,121.0,4.7491336
17.9,121.1,3.704054
17.9,121.2,3.1185598
17.9,121.3,3.415295
17.9,121.4,3.7384663
17.9,121.5,3.9517307
17.9,121.6,3.6117308
17.9,121.7,3.1004531
17.9,121.8,3.056078
17.9,121.9,3.0485716
17.9,122.0,3.36778
17.9,122.1,4.99891
17.8,120.5,8.182883
17.8,120.6,5.4394155
17.8,120.7,4.9519987
17.8,120.8,5.0281954
17.8,120.9,5.4866295
17.8,121.0,5.0156627
17.8,121.1,3.9473844
17.8,121.2,2.9923255
17.8,121.3,3.0477057
17.8,121.4,3.4366014
17.8,121.5,3.8261843
17.8,121.6,3.4123232
17.8,121.7,3.0599096
17.8,121.8,2.8826842
17.8,121.9,2.527067
17.8,122.0,2.7550318
17.8,122.1,4.5693583
17.7,120.4,10.613745
17.7,120.5,7.985609
17.7,120.6,5.457359
17.7,120.7,4.907014
17.7,120.8,4.930225
17.7,120.9,5.397384
17.7,121.0,4.89393
17.7,121.1,3.7997875
17.7,121.2,2.7581081
17.7,121.3,2.397476
17.7,121.4,2.8690774
17.7,121.5,3.2433176
17.7,121.6,2.9909356
17.7,121.7,2.982322
17.7,121.8,2.811619
17.7,121.9,2.2576172
17.7,122.0,2.6491482
17.7,122.1,4.1736727
17.6,120.4,10.793971
17.6,120.5,7.923165
17.6,120.6,5.664122
17.6,120.7,4.887569
17.6,120.8,4.89587
17.6,120.9,5.2574406
17.6,121.0,4.789297
17.6,121.1,3.672282
17.6,121.2,2.624363
17.6,121.3,2.2399619
17.6,121.4,2.5497599
17.6,121.5,3.0923014
17.6,121.6,2.9087849
17.6,121.7,2.9811583
17.6,121.8,2.7862499
17.6,121.9,2.0384085
17.6,122.0,2.347545
17.6,122.1,3.885557
17.5,120.5,7.62206
17.5,120.6,5.2577806
17.5,120.7,4.3383822
17.5,120.8,4.06361
17.5,120.9,4.666113
17.5,121.0,4.6305313
17.5,121.1,3.6031148
17.5,121.2,2.495958
17.5,121.3,2.2392929
17.5,121.4,2.4684253
17.5,121.5,2.8404906
17.5,121.6,2.7506762
17.5,121.7,2.797933
17.5,121.8,2.6436994
17.5,121.9,1.7781707
17.5,122.0,1.884973
17.5,122.1,2.6558373
17.4,120.5,7.2597823
17.4,120.6,4.4500537
17.4,120.7,3.4776506
17.4,120.8,3.1266012
17.4,120.9,3.7183259
17.4,121.0,3.8809612
17.4,121.1,3.3973072
17.4,121.2,2.5493047
17.4,121.3,2.2341614
17.4,121.4,2.279592
17.4,121.5,2.5725179
17.4,121.6,2.422937
17.4,121.7,2.6498258
17.4,121.8,2.4642127
17.4,121.9,1.9171457
17.4,122.0,1.663927
17.4,122.1,2.1506274
17.4,122.2,2.6376133
17.3,120.5,6.699693
17.3,120.6,3.8777688
