longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_150years,return_level_250years,return_level_500years
grid_116.6999999999997897_6.8999999999999417,14.770080507431398,15.312834523338314,15.466281223734175,15.533219949849883,15.553134042717197,15.567716719051836,15.57746960019729
grid_116.7999999999997840_6.8999999999999417,15.101916712723149,15.744051103384109,16.229807017903557,16.715562932423005,16.99971192692039,17.357697323083965,17.84345323760341
grid_116.8999999999997783_7.2999999999999403,22.503792539213237,23.64870428211847,24.514796581187724,25.38088888025698,25.887520397375866,26.525800623162212,27.391892922231467
grid_116.9999999999997726_7.8999999999999382,22.98838935430642,24.290221959224453,25.275020307903898,26.25981865658334,26.83588876133293,27.561651261501375,28.54644961018082
grid_116.9999999999997726_7.9999999999999378,23.204205067439045,24.33891357164802,25.197287418605,26.05566126556198,26.557777777631575,27.190369769770957,28.048743616727936
grid_116.9999999999997726_8.0999999999999375,23.158783061704668,24.388790631855564,25.31925543921387,26.24972024657217,26.794007267117514,27.47972781672307,28.410192624081372
grid_117.0999999999997669_6.8999999999999417,18.94599444089162,19.629031485897972,19.81532898956009,19.894226161698146,19.91712232309917,19.933570424526295,19.94430152323009
grid_117.0999999999997669_6.9999999999999414,20.87137931691533,21.536670733361124,21.64501352209432,21.675122578072806,21.681231362717945,21.684577940267687,21.686117747160356
grid_117.0999999999997669_7.1999999999999407,22.748880714763168,23.673353071058628,24.37268941156831,25.072025752077987,25.481111286667712,25.99649810837345,26.69583444888313
grid_117.0999999999997669_7.2999999999999403,22.60562127305968,23.508360230200687,24.19125588892252,24.874151547644356,25.273619899901902,25.77689050478536,26.459786163507196
grid_117.1999999999997613_6.8999999999999417,20.269905689468846,20.747682995490845,20.812517179214378,20.828068287666248,20.830846644864582,20.832232072330626,20.83279709619533
grid_117.1999999999997613_7.1999999999999407,23.54929263299669,24.374679824342028,24.570152821743207,24.643858596698447,24.663255879900763,24.67618355426716,24.683838938810407
grid_117.1999999999997613_7.2999999999999403,22.554087206472147,23.507196949323113,24.228196636474912,24.949196323626712,25.370954103642198,25.902306066477674,26.623305753629474
grid_117.1999999999997613_8.4999999999999361,18.378580881422625,20.042585979639945,21.301357243109535,22.56012850657913,23.296462492694232,24.224133604796446,25.48290486826604
grid_117.2999999999997556_8.2999999999999368,22.088974045250016,23.276668897575608,24.175125369541874,25.07358184150814,25.599145186138635,26.26127669383373,27.1597331658
grid_117.2999999999997556_8.4999999999999361,16.70370981365562,18.30346334956392,19.513630182461597,20.723797015359274,21.431699232220897,22.32355055126757,23.533717384165247
grid_117.3999999999997499_8.4999999999999361,16.740685702448754,18.81328197449597,20.381140529029384,21.9489990835628,22.866137544399727,24.021595355610017,25.589453910143433
grid_117.3999999999997499_8.5999999999999357,16.39715481575724,18.061481095917117,19.320495324146897,20.579509552376678,21.31598566376549,22.243835832536554,23.502850060766335
grid_117.3999999999997499_8.6999999999999353,16.35714831336921,17.713519180390623,18.739574131690365,19.765629082990106,20.365832753179728,21.12199995001152,22.148054901311262
grid_117.4999999999997442_8.5999999999999357,18.768641008751338,20.149673635669394,20.464651220090225,20.57980823984147,20.60933358601912,20.628623671579305,20.639757200557224
grid_117.4999999999997442_8.6999999999999353,16.992444231420752,18.193706166805026,18.49430861881484,18.612899566991175,18.64532339186333,18.66757280986334,18.681254181413205
grid_117.4999999999997442_8.7999999999999350,14.0548031195289,15.262913377979963,16.176813508496515,17.09071363901307,17.625310944769428,18.298823897464132,19.212724027980688
grid_117.4999999999997442_8.8999999999999346,14.025501986316417,15.058170281697553,15.83935369051914,16.62053709934073,17.07750009968688,17.653205394721866,18.434388803543452
grid_117.5999999999997385_8.6999999999999353,15.141303836652403,16.730363803115434,17.932441263008158,19.134518722900886,19.83768895990027,20.72357868936392,21.925656149256643
grid_117.5999999999997385_8.7999999999999350,12.353388326136116,13.543859707592109,14.444416542763562,15.344973377935016,15.87176535627844,16.53544475939101,17.436001594562462
grid_117.5999999999997385_8.8999999999999346,12.098151050179093,13.057023189104928,13.782381960610225,14.507740732115522,14.932048413015286,15.466612871041356,16.191971642546655
grid_117.5999999999997385_8.9999999999999343,14.299727399387015,15.469530923434814,16.354453128032844,17.239375332630875,17.757021638376216,18.409178856678672,19.294101061276702
grid_117.6999999999997328_8.7999999999999350,11.620591848775952,13.05848787321865,14.146214225358264,15.233940577497878,15.870219704545766,16.671836601940576,17.75956295408019
grid_117.6999999999997328_8.8999999999999346,10.542111821661848,11.202556507509728,11.702163625629229,12.20177074374873,12.494022172942003,12.862215429596608,13.361822547716109
grid_117.6999999999997328_8.9999999999999343,13.761780646004626,14.668432085944152,14.933877675507627,15.05306741234389,15.089393171847787,15.116495876929033,15.135066195615154
grid_117.7999999999997272_8.7999999999999350,11.232630974004618,12.882411594747815,14.130422456400446,15.378433318053077,16.108472872612563,17.028213938796274,18.2762248004489
grid_117.7999999999997272_8.8999999999999346,9.429807549618042,10.487324038856023,11.287304380697604,12.087284722539184,12.555243223830601,13.144801211777168,13.944781553618746
grid_117.7999999999997272_8.9999999999999343,10.630840566106908,11.488536078284298,12.137357686278394,12.78617929427249,13.165715604606637,13.64387480644988,14.292696414443977
