Longitude,Latitude,max_wind_speed,Return_Period
121.4,19.4,13.56724739074707,< 7-year
121.5,19.4,13.557306289672852,< 7-year
121.9,18.9,13.542296409606932,< 7-year
120.8,18.6,11.941252708435059,< 7-year
120.9,18.6,12.072372436523436,< 7-year
121.1,18.6,11.668996810913084,< 7-year
121.2,18.6,11.524768829345703,< 7-year
120.7,18.5,9.318181037902832,< 7-year
120.8,18.5,9.272587776184082,< 7-year
120.9,18.5,9.350445747375488,< 7-year
121.0,18.5,9.155921936035156,< 7-year
121.1,18.5,8.860713958740234,< 7-year
121.2,18.5,8.876875877380371,< 7-year
121.3,18.5,9.14876079559326,< 7-year
122.2,18.5,13.41208267211914,< 7-year
120.6,18.4,7.1542205810546875,< 7-year
120.7,18.4,7.069441318511963,< 7-year
120.8,18.4,6.941903114318848,< 7-year
120.9,18.4,6.921200752258301,< 7-year
121.0,18.4,6.6796393394470215,< 7-year
121.1,18.4,6.358823299407959,< 7-year
121.2,18.4,6.615370273590088,< 7-year
121.3,18.4,7.063102722167969,< 7-year
121.4,18.4,7.552311897277832,< 7-year
121.5,18.4,7.77890157699585,< 7-year
121.6,18.4,8.650800704956055,< 7-year
122.1,18.4,12.905306816101074,< 7-year
122.2,18.4,13.16465950012207,< 7-year
122.3,18.4,13.311086654663084,< 7-year
120.7,18.3,6.57009744644165,< 7-year
120.8,18.3,6.4939703941345215,< 7-year
120.9,18.3,6.497039794921875,< 7-year
121.0,18.3,6.050239562988281,< 7-year
121.1,18.3,5.922329902648926,< 7-year
121.2,18.3,5.933392524719238,< 7-year
121.3,18.3,6.16083288192749,< 7-year
121.4,18.3,6.465342044830322,< 7-year
121.5,18.3,6.867191791534424,< 7-year
121.6,18.3,7.591411113739015,< 7-year
121.7,18.3,8.416625022888184,< 7-year
122.1,18.3,11.324750900268555,< 7-year
122.2,18.3,11.925639152526855,< 7-year
122.3,18.3,12.417232513427734,< 7-year
120.5,18.2,6.706587791442871,< 7-year
120.6,18.2,6.5061140060424805,< 7-year
120.7,18.2,6.423311233520508,< 7-year
120.8,18.2,6.355655193328857,< 7-year
120.9,18.2,6.317432403564453,< 7-year
121.0,18.2,6.15549373626709,< 7-year
121.1,18.2,5.790777206420898,< 7-year
121.2,18.2,5.473085403442383,< 7-year
121.3,18.2,5.465841293334961,< 7-year
121.4,18.2,5.562166690826416,< 7-year
121.5,18.2,5.700432300567627,< 7-year
121.6,18.2,6.1634650230407715,< 7-year
121.7,18.2,6.66384220123291,< 7-year
121.8,18.2,7.224752902984619,< 7-year
121.9,18.2,7.888389587402344,< 7-year
122.0,18.2,8.590353965759277,< 7-year
122.1,18.2,9.442692756652832,< 7-year
122.2,18.2,10.49827766418457,< 7-year
120.5,18.1,6.580776691436768,< 7-year
120.6,18.1,6.261590003967285,< 7-year
120.7,18.1,6.493950843811035,< 7-year
120.8,18.1,6.465664863586426,< 7-year
120.9,18.1,6.593095779418945,< 7-year
121.0,18.1,6.336101055145264,< 7-year
121.1,18.1,5.7673163414001465,< 7-year
121.2,18.1,5.226957321166992,< 7-year
121.3,18.1,5.04564094543457,< 7-year
121.4,18.1,4.999149322509766,< 7-year
121.5,18.1,5.028094291687012,< 7-year
121.6,18.1,5.150942802429199,< 7-year
121.7,18.1,5.331579208374023,< 7-year
121.8,18.1,5.6427106857299805,< 7-year
121.9,18.1,6.240819454193115,< 7-year
122.0,18.1,6.890493869781494,< 7-year
122.1,18.1,7.8178391456604,< 7-year
122.2,18.1,8.745312690734863,< 7-year
120.6,18.0,6.001232147216797,< 7-year
120.7,18.0,6.316333293914795,< 7-year
120.8,18.0,6.47255277633667,< 7-year
120.9,18.0,6.604557514190674,< 7-year
121.0,18.0,6.43250036239624,< 7-year
121.1,18.0,5.940159320831299,< 7-year
121.2,18.0,5.493973255157471,< 7-year
121.3,18.0,5.29731559753418,< 7-year
121.4,18.0,5.276601314544678,< 7-year
121.5,18.0,5.339929580688477,< 7-year
121.6,18.0,5.202080726623535,< 7-year
121.7,18.0,5.057727336883545,< 7-year
121.8,18.0,5.076108932495117,< 7-year
121.9,18.0,5.527200222015381,< 7-year
122.0,18.0,5.999938488006592,< 7-year
122.1,18.0,6.948747634887695,< 7-year
120.5,17.9,6.020547866821289,< 7-year
120.6,17.9,5.754880905151367,< 7-year
120.7,17.9,6.20674991607666,< 7-year
120.8,17.9,6.537736415863037,< 7-year
120.9,17.9,6.879642009735107,< 7-year
121.0,17.9,6.537412166595459,< 7-year
121.1,17.9,6.1146016120910645,< 7-year
121.2,17.9,5.731067180633545,< 7-year
121.3,17.9,5.547956943511963,< 7-year
121.4,17.9,5.559940814971924,< 7-year
121.5,17.9,5.595727443695068,< 7-year
121.6,17.9,5.265361309051514,< 7-year
121.7,17.9,4.818615913391113,< 7-year
121.8,17.9,4.563079357147217,< 7-year
121.9,17.9,4.841324329376221,< 7-year
122.0,17.9,5.154644012451172,< 7-year
122.1,17.9,6.009953498840332,< 7-year
120.5,17.8,5.997481346130371,< 7-year
120.6,17.8,5.644144535064697,< 7-year
120.7,17.8,6.035728931427002,< 7-year
120.8,17.8,6.448058128356934,< 7-year
120.9,17.8,6.846588611602783,< 7-year
121.0,17.8,6.350133895874023,< 7-year
121.1,17.8,5.915826797485352,< 7-year
121.2,17.8,5.582273006439209,< 7-year
121.3,17.8,5.396206855773926,< 7-year
121.4,17.8,5.445550918579102,< 7-year
121.5,17.8,5.629072666168213,< 7-year
121.6,17.8,5.103401184082031,< 7-year
121.7,17.8,4.525050640106201,< 7-year
121.8,17.8,4.118599891662598,< 7-year
121.9,17.8,4.2491302490234375,< 7-year
122.0,17.8,4.437842845916748,< 7-year
122.1,17.8,5.34058952331543,< 7-year
120.4,17.7,7.562201023101807,< 7-year
120.5,17.7,6.507119178771973,< 7-year
120.6,17.7,5.6900811195373535,< 7-year
120.7,17.7,5.825313091278076,< 7-year
120.8,17.7,6.15720272064209,< 7-year
120.9,17.7,6.544093132019043,< 7-year
121.0,17.7,6.055366516113281,< 7-year
121.1,17.7,5.261097431182861,< 7-year
121.2,17.7,4.938416957855225,< 7-year
121.3,17.7,4.7813239097595215,< 7-year
121.4,17.7,4.8740410804748535,< 7-year
121.5,17.7,5.03753137588501,< 7-year
121.6,17.7,4.652284145355225,< 7-year
121.7,17.7,4.123038291931152,< 7-year
121.8,17.7,3.749031782150269,< 7-year
121.9,17.7,3.8076004981994633,< 7-year
122.0,17.7,3.9378209114074703,< 7-year
122.1,17.7,4.693748474121094,< 7-year
120.4,17.6,8.20698070526123,< 7-year
120.5,17.6,7.0212225914001465,< 7-year
120.6,17.6,6.002591609954834,< 7-year
120.7,17.6,5.718238830566406,< 7-year
120.8,17.6,5.919457912445068,< 7-year
120.9,17.6,6.201174259185791,< 7-year
121.0,17.6,5.7587714195251465,< 7-year
121.1,17.6,4.808505535125732,< 7-year
121.2,17.6,4.318248271942139,< 7-year
121.3,17.6,4.204892158508301,< 7-year
121.4,17.6,4.364508152008057,< 7-year
121.5,17.6,4.704447269439697,< 7-year
121.6,17.6,4.2616448402404785,< 7-year
121.7,17.6,3.7809128761291504,< 7-year
121.8,17.6,3.431785345077514,< 7-year
121.9,17.6,3.3944809436798096,< 7-year
122.0,17.6,3.4611997604370117,< 7-year
122.1,17.6,4.275850296020508,< 7-year
120.5,17.5,6.802732467651367,< 7-year
120.6,17.5,5.560971736907959,< 7-year
120.7,17.5,5.306029796600342,< 7-year
120.8,17.5,5.574959754943848,< 7-year
120.9,17.5,5.9562273025512695,< 7-year
121.0,17.5,5.496905326843262,< 7-year
121.1,17.5,4.630232810974121,< 7-year
121.2,17.5,3.9242560863494873,< 7-year
121.3,17.5,3.8135919570922847,< 7-year
121.4,17.5,3.965465784072876,< 7-year
121.5,17.5,4.252342224121094,< 7-year
121.6,17.5,4.102673053741455,< 7-year
121.7,17.5,3.8423197269439697,< 7-year
121.8,17.5,3.609165906906128,< 7-year
121.9,17.5,3.4388210773468018,< 7-year
122.0,17.5,3.396411180496216,< 7-year
122.1,17.5,3.8180890083312993,< 7-year
120.5,17.4,6.219486236572266,< 7-year
120.6,17.4,4.741315841674805,< 7-year
120.7,17.4,4.683218002319336,< 7-year
120.8,17.4,5.134500980377197,< 7-year
120.9,17.4,5.7005534172058105,< 7-year
121.0,17.4,5.458061218261719,< 7-year
121.1,17.4,4.647279262542725,< 7-year
121.2,17.4,3.793426275253296,< 7-year
121.3,17.4,3.5388283729553223,< 7-year
121.4,17.4,3.62392258644104,< 7-year
121.5,17.4,4.127878665924072,< 7-year
121.6,17.4,4.164429187774658,< 7-year
121.7,17.4,4.2599382400512695,< 7-year
121.8,17.4,4.1999592781066895,< 7-year
121.9,17.4,3.7762830257415767,< 7-year
122.0,17.4,3.6224739551544194,< 7-year
122.1,17.4,3.7957301139831543,< 7-year
122.2,17.4,4.2318596839904785,< 7-year
120.5,17.3,5.840788841247559,< 7-year
120.6,17.3,4.089509010314941,< 7-year
120.7,17.3,4.0790228843688965,< 7-year
120.8,17.3,4.759903907775879,< 7-year
120.9,17.3,5.540891647338867,< 7-year
121.0,17.3,5.464155673980713,< 7-year
121.1,17.3,4.780596733093262,< 7-year
121.2,17.3,4.101328372955322,< 7-year
121.3,17.3,3.5605006217956543,< 7-year
121.4,17.3,3.500984907150269,< 7-year
121.5,17.3,3.8751277923583984,< 7-year
121.6,17.3,4.259419918060303,< 7-year
121.7,17.3,4.682806015014648,< 7-year
121.8,17.3,4.879673480987549,< 7-year
121.9,17.3,4.167351722717285,< 7-year
122.0,17.3,3.8913600444793706,< 7-year
122.1,17.3,3.8036892414093018,< 7-year
122.2,17.3,3.602100133895874,< 7-year
122.3,17.3,3.9847033023834233,< 7-year
120.5,17.2,5.649097919464111,< 7-year
120.6,17.2,3.361628770828247,< 7-year
120.7,17.2,3.528374195098877,< 7-year
120.8,17.2,4.4260663986206055,< 7-year
120.9,17.2,5.40178680419922,< 7-year
121.0,17.2,5.400889873504639,< 7-year
121.1,17.2,4.769580841064453,< 7-year
121.2,17.2,4.053232669830322,< 7-year
121.3,17.2,3.558436393737793,< 7-year
121.4,17.2,3.3762753009796143,< 7-year
121.5,17.2,3.473426818847656,< 7-year
121.6,17.2,4.110780715942383,< 7-year
121.7,17.2,4.81807279586792,< 7-year
121.8,17.2,5.15752649307251,< 7-year
121.9,17.2,4.625064373016357,< 7-year
122.0,17.2,4.229851245880127,< 7-year
122.1,17.2,3.974977493286133,< 7-year
122.2,17.2,3.6304638385772705,< 7-year
122.3,17.2,3.724310398101806,< 7-year
122.4,17.2,4.3798418045043945,< 7-year
120.5,17.1,4.984631538391113,< 7-year
120.6,17.1,2.7432687282562256,< 7-year
120.7,17.1,3.0450470447540283,< 7-year
120.8,17.1,4.133913516998291,< 7-year
120.9,17.1,5.208116054534912,< 7-year
121.0,17.1,5.304091453552246,< 7-year
121.1,17.1,4.701305866241455,< 7-year
121.2,17.1,4.136326789855957,< 7-year
121.3,17.1,3.4776406288146973,< 7-year
121.4,17.1,3.2277207374572754,< 7-year
121.5,17.1,3.187382459640503,< 7-year
121.6,17.1,3.9489786624908447,< 7-year
121.7,17.1,4.862509250640869,< 7-year
121.8,17.1,5.4540228843688965,< 7-year
121.9,17.1,5.0720109939575195,< 7-year
122.0,17.1,4.6829752922058105,< 7-year
122.1,17.1,4.3359270095825195,< 7-year
122.2,17.1,4.046937942504883,< 7-year
122.3,17.1,3.812335252761841,< 7-year
