,value,region_id,impf_,geometry
0,434328.4404331585,40,1,POINT (14.98333333 48.98333333)
1,621286.4124443644,40,1,POINT (15.01666667 48.98333333)
2,848468.209682145,40,1,POINT (15.05 48.98333333)
3,1223717.4701248677,40,1,POINT (15.08333333 48.98333333)
4,1088219.625998405,40,1,POINT (15.11666667 48.98333333)
5,463250.648512522,40,1,POINT (14.98333333 48.95)
6,825461.935758001,40,1,POINT (15.01666667 48.95)
7,4396219.225576131,40,1,POINT (15.05 48.95)
8,1159765.6454939058,40,1,POINT (15.08333333 48.95)
9,1059940.0429984943,40,1,POINT (15.11666667 48.95)
10,563413.631612212,40,1,POINT (15.25 48.95)
11,808398.8859499479,40,1,POINT (15.28333333 48.95)
12,661901.6046161075,40,1,POINT (15.31666667 48.95)
13,374635.8691299255,40,1,POINT (15.35 48.95)
14,275627.364802467,40,1,POINT (15.38333333 48.95)
15,219486.71427766,40,1,POINT (15.41666667 48.95)
16,512139.90690009686,40,1,POINT (14.98333333 48.91666667)
17,763746.8216613191,40,1,POINT (15.01666667 48.91666667)
18,1942162.2162115998,40,1,POINT (15.05 48.91666667)
19,975678.5681012041,40,1,POINT (15.08333333 48.91666667)
20,1402629.1845707959,40,1,POINT (15.11666667 48.91666667)
21,4841975.790672904,40,1,POINT (15.15 48.91666667)
22,1356561.0251029115,40,1,POINT (15.18333333 48.91666667)
23,3453877.299173847,40,1,POINT (15.21666667 48.91666667)
24,1304587.3037354387,40,1,POINT (15.25 48.91666667)
25,880643.168236787,40,1,POINT (15.28333333 48.91666667)
26,872550.1971824851,40,1,POINT (15.31666667 48.91666667)
27,760904.3221464432,40,1,POINT (15.35 48.91666667)
28,609887.3103110318,40,1,POINT (15.38333333 48.91666667)
29,645255.1610855421,40,1,POINT (15.41666667 48.91666667)
30,542999.2899281626,40,1,POINT (15.45 48.91666667)
31,406152.0153926724,40,1,POINT (15.48333333 48.91666667)
32,744038.740171026,40,1,POINT (14.98333333 48.88333333)
33,1069405.2067781605,40,1,POINT (15.01666667 48.88333333)
34,1384621.4885036752,40,1,POINT (15.05 48.88333333)
35,2542844.2253296147,40,1,POINT (15.08333333 48.88333333)
36,16211427.0902065,40,1,POINT (15.11666667 48.88333333)
37,5951986.404581024,40,1,POINT (15.15 48.88333333)
38,1768754.0816085225,40,1,POINT (15.18333333 48.88333333)
39,9664189.14060604,40,1,POINT (15.21666667 48.88333333)
40,3134357.014564683,40,1,POINT (15.25 48.88333333)
41,1897596.3719877037,40,1,POINT (15.28333333 48.88333333)
42,1241159.7749212799,40,1,POINT (15.31666667 48.88333333)
43,862378.0214740617,40,1,POINT (15.35 48.88333333)
44,1270652.6024751763,40,1,POINT (15.38333333 48.88333333)
45,1915951.310461578,40,1,POINT (15.41666667 48.88333333)
46,678040.1588060678,40,1,POINT (15.45 48.88333333)
47,680867.6946783088,40,1,POINT (15.48333333 48.88333333)
48,525944.4365972809,40,1,POINT (15.51666667 48.88333333)
49,450469.2196958307,40,1,POINT (15.55 48.88333333)
50,377841.1174234534,40,1,POINT (15.58333333 48.88333333)
51,1530878.848374546,40,1,POINT (14.98333333 48.85)
52,1863881.9126466135,40,1,POINT (15.01666667 48.85)
53,3199354.7007301534,40,1,POINT (15.05 48.85)
54,5255356.990813681,40,1,POINT (15.08333333 48.85)
55,18376936.449192245,40,1,POINT (15.11666667 48.85)
56,4327275.575422226,40,1,POINT (15.15 48.85)
57,2199508.7853290434,40,1,POINT (15.18333333 48.85)
58,1865048.1831542565,40,1,POINT (15.21666667 48.85)
59,2997107.3138405383,40,1,POINT (15.25 48.85)
60,7895972.195865096,40,1,POINT (15.28333333 48.85)
61,4336469.882568654,40,1,POINT (15.31666667 48.85)
62,3083573.2549091787,40,1,POINT (15.35 48.85)
63,2375336.7863174803,40,1,POINT (15.38333333 48.85)
64,968788.8769087464,40,1,POINT (15.41666667 48.85)
65,705072.3378624865,40,1,POINT (15.45 48.85)
66,4566046.603513579,40,1,POINT (15.48333333 48.85)
67,1411275.398709866,40,1,POINT (15.51666667 48.85)
68,516803.4535610483,40,1,POINT (15.55 48.85)
69,534098.9410284372,40,1,POINT (15.58333333 48.85)
70,561444.3871006005,40,1,POINT (15.61666667 48.85)
71,516303.3927136507,40,1,POINT (15.65 48.85)
72,466073.8407334587,40,1,POINT (15.68333333 48.85)
73,517305.6047933097,40,1,POINT (15.71666667 48.85)
74,405567.039033311,40,1,POINT (15.75 48.85)
75,365171.3457494825,40,1,POINT (15.78333333 48.85)
76,357907.6662280514,40,1,POINT (15.81666667 48.85)
77,4069944.081861109,40,1,POINT (14.95 48.81666667)
78,16893191.094273478,40,1,POINT (14.98333333 48.81666667)
79,8400700.717972603,40,1,POINT (15.01666667 48.81666667)
80,20344613.555716954,40,1,POINT (15.05 48.81666667)
81,11692688.880789232,40,1,POINT (15.08333333 48.81666667)
82,3477740.949023263,40,1,POINT (15.11666667 48.81666667)
83,1862976.722941341,40,1,POINT (15.15 48.81666667)
84,1509098.4938386849,40,1,POINT (15.18333333 48.81666667)
85,2086468.5920088047,40,1,POINT (15.21666667 48.81666667)
86,19470151.79380999,40,1,POINT (15.25 48.81666667)
87,126169367.57611805,40,1,POINT (15.28333333 48.81666667)
88,18475812.68247348,40,1,POINT (15.31666667 48.81666667)
89,8837126.687102426,40,1,POINT (15.35 48.81666667)
90,16262171.320941953,40,1,POINT (15.38333333 48.81666667)
91,8152289.245057823,40,1,POINT (15.41666667 48.81666667)
92,1613508.7314192727,40,1,POINT (15.45 48.81666667)
93,672282.6366772719,40,1,POINT (15.48333333 48.81666667)
94,563275.4364217278,40,1,POINT (15.51666667 48.81666667)
95,600879.1406595793,40,1,POINT (15.55 48.81666667)
96,601075.0250168082,40,1,POINT (15.58333333 48.81666667)
97,581445.9542515615,40,1,POINT (15.61666667 48.81666667)
98,1016489.1820347757,40,1,POINT (15.65 48.81666667)
99,2057029.1660326764,40,1,POINT (15.68333333 48.81666667)
100,630736.4135779795,40,1,POINT (15.71666667 48.81666667)
101,515915.1419639634,40,1,POINT (15.75 48.81666667)
102,468026.82785671647,40,1,POINT (15.78333333 48.81666667)
103,484365.07349266985,40,1,POINT (15.81666667 48.81666667)
104,383584.6175679233,40,1,POINT (15.85 48.81666667)
105,354503.2148207304,40,1,POINT (15.88333333 48.81666667)
106,279939.3230968414,40,1,POINT (15.91666667 48.81666667)
107,78285678.20092952,40,1,POINT (14.95 48.78333333)
108,385306812.20011336,40,1,POINT (14.98333333 48.78333333)
109,49406513.48450006,40,1,POINT (15.01666667 48.78333333)
110,31653536.793658387,40,1,POINT (15.05 48.78333333)
111,21178425.42734068,40,1,POINT (15.08333333 48.78333333)
112,3274104.239512507,40,1,POINT (15.11666667 48.78333333)
113,2167697.3831078443,40,1,POINT (15.15 48.78333333)
114,5606503.180425745,40,1,POINT (15.18333333 48.78333333)
115,2805079.017815602,40,1,POINT (15.21666667 48.78333333)
116,5324757.361332349,40,1,POINT (15.25 48.78333333)
117,12450206.7860635,40,1,POINT (15.28333333 48.78333333)
118,5925852.75589767,40,1,POINT (15.31666667 48.78333333)
119,8958925.526359534,40,1,POINT (15.35 48.78333333)
120,37083625.9609433,40,1,POINT (15.38333333 48.78333333)
