,value,region_id,impf_,geometry
0,2039742.8974601976,203,1,POINT (14.28333333 51.01666667)
1,2887637.744871073,203,1,POINT (14.31666667 51.01666667)
2,2709766.8520008973,203,1,POINT (14.35 51.01666667)
3,1053365.2300611127,203,1,POINT (14.41666667 51.01666667)
4,1140101.8358819915,203,1,POINT (14.45 51.01666667)
5,1577905.8443408976,203,1,POINT (14.48333333 51.01666667)
6,2912408.4592930167,203,1,POINT (14.25 50.98333333)
7,8338661.538050499,203,1,POINT (14.28333333 50.98333333)
8,10316748.36493424,203,1,POINT (14.31666667 50.98333333)
9,6406923.243098982,203,1,POINT (14.35 50.98333333)
10,1566344.0968785577,203,1,POINT (14.38333333 50.98333333)
11,1774314.4745078248,203,1,POINT (14.41666667 50.98333333)
12,1656164.8848881351,203,1,POINT (14.45 50.98333333)
13,2165179.492282449,203,1,POINT (14.48333333 50.98333333)
14,15805429.176421633,203,1,POINT (14.51666667 50.98333333)
15,67282371.5944153,203,1,POINT (14.55 50.98333333)
16,3596282.4664550824,203,1,POINT (14.98333333 50.98333333)
17,2903873.1986013,203,1,POINT (15.01666667 50.98333333)
18,1543528.49883749,203,1,POINT (15.05 50.98333333)
19,923008.4038703025,203,1,POINT (15.08333333 50.98333333)
20,475025.8216013935,203,1,POINT (15.15 50.98333333)
21,1474706.6509512367,203,1,POINT (14.31666667 50.95)
22,1215260.387049999,203,1,POINT (14.35 50.95)
23,1715226.6352317762,203,1,POINT (14.38333333 50.95)
24,1032795.3383428835,203,1,POINT (14.41666667 50.95)
25,1035725.7850616286,203,1,POINT (14.45 50.95)
26,1916429.6015435336,203,1,POINT (14.48333333 50.95)
27,40940204.50566994,203,1,POINT (14.51666667 50.95)
28,485077794.8075731,203,1,POINT (14.55 50.95)
29,4517008.108692504,203,1,POINT (15.01666667 50.95)
30,7967545.506643991,203,1,POINT (15.05 50.95)
31,21510903.234777253,203,1,POINT (15.08333333 50.95)
32,2402144.7292211493,203,1,POINT (15.11666667 50.95)
33,796833.7847738315,203,1,POINT (15.15 50.95)
34,742883.6094598648,203,1,POINT (15.18333333 50.95)
35,2457970.7663927334,203,1,POINT (15.21666667 50.95)
36,1388356.534654191,203,1,POINT (15.25 50.95)
37,1262852.9098576854,203,1,POINT (14.38333333 50.91666667)
38,522483.8049542601,203,1,POINT (14.41666667 50.91666667)
39,1082292.8445977904,203,1,POINT (14.45 50.91666667)
40,5954517.589945733,203,1,POINT (14.48333333 50.91666667)
41,28446945.394901156,203,1,POINT (14.51666667 50.91666667)
42,76142124.0624709,203,1,POINT (14.55 50.91666667)
43,282335725.3560871,203,1,POINT (14.61666667 50.91666667)
44,4844269.486599551,203,1,POINT (15.01666667 50.91666667)
45,40668032.03377299,203,1,POINT (15.05 50.91666667)
46,162922284.69992054,203,1,POINT (15.08333333 50.91666667)
47,7353767.313246518,203,1,POINT (15.11666667 50.91666667)
48,2856153.6577544776,203,1,POINT (15.15 50.91666667)
49,1418373.8760774867,203,1,POINT (15.18333333 50.91666667)
50,11740193.419452876,203,1,POINT (15.21666667 50.91666667)
51,4725198.530019764,203,1,POINT (15.25 50.91666667)
52,377344.64767915464,203,1,POINT (14.28333333 50.88333333)
53,342814.16911753843,203,1,POINT (14.38333333 50.88333333)
54,169330.19099972778,203,1,POINT (14.41666667 50.88333333)
55,560595.614933985,203,1,POINT (14.45 50.88333333)
56,1791400.772214286,203,1,POINT (14.48333333 50.88333333)
57,3511800.835972919,203,1,POINT (14.51666667 50.88333333)
58,13167540.023718491,203,1,POINT (14.55 50.88333333)
59,52853351.711584486,203,1,POINT (14.58333333 50.88333333)
60,98105033.63713959,203,1,POINT (14.61666667 50.88333333)
61,7227120.49031986,203,1,POINT (15.01666667 50.88333333)
62,8968122.16718607,203,1,POINT (15.05 50.88333333)
63,10628518.337622564,203,1,POINT (15.08333333 50.88333333)
64,3574388.4144225405,203,1,POINT (15.11666667 50.88333333)
65,3206831.779699661,203,1,POINT (15.15 50.88333333)
66,2271027.0841458207,203,1,POINT (15.18333333 50.88333333)
67,953668.9272332615,203,1,POINT (15.21666667 50.88333333)
68,727654.9019077785,203,1,POINT (15.25 50.88333333)
69,10678956.413587268,203,1,POINT (14.21666667 50.85)
70,4931298.1208104,203,1,POINT (14.25 50.85)
71,1037770.1848806277,203,1,POINT (14.28333333 50.85)
72,446968.5379251028,203,1,POINT (14.31666667 50.85)
73,270294.1359389105,203,1,POINT (14.35 50.85)
74,213662.51595309094,203,1,POINT (14.38333333 50.85)
75,340864.2948548643,203,1,POINT (14.41666667 50.85)
76,1520543.0287106393,203,1,POINT (14.45 50.85)
77,1805899.602129217,203,1,POINT (14.48333333 50.85)
78,1181700.443127453,203,1,POINT (14.51666667 50.85)
79,2278059.101774636,203,1,POINT (14.55 50.85)
80,6697080.255259596,203,1,POINT (14.58333333 50.85)
81,9320801.956522511,203,1,POINT (14.81666667 50.85)
82,21481289.996798754,203,1,POINT (14.85 50.85)
83,6903600.22013801,203,1,POINT (14.88333333 50.85)
84,6569543.211757907,203,1,POINT (14.91666667 50.85)
85,10627630.197057515,203,1,POINT (14.95 50.85)
86,14756754.043039115,203,1,POINT (14.98333333 50.85)
87,13926695.995387632,203,1,POINT (15.01666667 50.85)
88,15776296.28640695,203,1,POINT (15.05 50.85)
89,7368970.518873773,203,1,POINT (15.08333333 50.85)
90,2977169.675177878,203,1,POINT (15.11666667 50.85)
91,1271103.0994070033,203,1,POINT (15.15 50.85)
92,1381922.182478905,203,1,POINT (15.18333333 50.85)
93,1031540.8190469696,203,1,POINT (15.21666667 50.85)
94,1002429.0457393782,203,1,POINT (15.25 50.85)
95,536649.6159092876,203,1,POINT (15.28333333 50.85)
96,10644183.803019585,203,1,POINT (14.11666667 50.81666667)
97,48484523.66551218,203,1,POINT (14.15 50.81666667)
98,110090490.20397267,203,1,POINT (14.18333333 50.81666667)
99,112245016.39879072,203,1,POINT (14.21666667 50.81666667)
100,22759054.396202948,203,1,POINT (14.25 50.81666667)
101,3251804.68355539,203,1,POINT (14.28333333 50.81666667)
102,803427.0752755137,203,1,POINT (14.31666667 50.81666667)
103,622976.1897893886,203,1,POINT (14.35 50.81666667)
104,2323670.184499892,203,1,POINT (14.38333333 50.81666667)
105,14256990.81299212,203,1,POINT (14.41666667 50.81666667)
106,7136918.405736497,203,1,POINT (14.45 50.81666667)
107,2746443.5937197693,203,1,POINT (14.48333333 50.81666667)
108,1255037.7072296494,203,1,POINT (14.51666667 50.81666667)
109,2148717.273377201,203,1,POINT (14.55 50.81666667)
110,2014578.208102572,203,1,POINT (14.58333333 50.81666667)
111,2528739.2147772126,203,1,POINT (14.61666667 50.81666667)
112,1730637.4222844895,203,1,POINT (14.65 50.81666667)
113,297492.4777761031,203,1,POINT (14.68333333 50.81666667)
114,1302455.28159677,203,1,POINT (14.78333333 50.81666667)
115,5917780.670997084,203,1,POINT (14.81666667 50.81666667)
116,5666944.789919589,203,1,POINT (14.85 50.81666667)
117,2210436.5545321186,203,1,POINT (14.88333333 50.81666667)
118,1793002.8116897913,203,1,POINT (14.91666667 50.81666667)
119,29722705.013307076,203,1,POINT (14.95 50.81666667)
120,101173394.61932746,203,1,POINT (14.98333333 50.81666667)
121,222232419.2559444,203,1,POINT (15.01666667 50.81666667)
