,value,region_id,impf_,geometry
0,257480.93863665516,616,1,POINT (17.85 54.81666667)
1,92109.13040888285,616,1,POINT (17.88333333 54.81666667)
2,114459.72086511977,616,1,POINT (17.91666667 54.81666667)
3,140080.52162588996,616,1,POINT (17.95 54.81666667)
4,155692.61048801927,616,1,POINT (17.98333333 54.81666667)
5,170694.69161560448,616,1,POINT (18.01666667 54.81666667)
6,169732.77677494715,616,1,POINT (18.05 54.81666667)
7,377742.2747969996,616,1,POINT (18.08333333 54.81666667)
8,756907.233426066,616,1,POINT (18.11666667 54.81666667)
9,866167.7883442783,616,1,POINT (18.15 54.81666667)
10,2437536.403315819,616,1,POINT (18.18333333 54.81666667)
11,2428737.6620425964,616,1,POINT (18.21666667 54.81666667)
12,1453106.2721743714,616,1,POINT (18.25 54.81666667)
13,6950479.8293596255,616,1,POINT (18.28333333 54.81666667)
14,13366626.458952483,616,1,POINT (18.31666667 54.81666667)
15,7184579.893039358,616,1,POINT (18.35 54.81666667)
16,114293.08440694051,616,1,POINT (17.68333333 54.78333333)
17,83447.90094466484,616,1,POINT (17.71666667 54.78333333)
18,96696.17924122675,616,1,POINT (17.75 54.78333333)
19,107260.90349493967,616,1,POINT (17.78333333 54.78333333)
20,114501.07777633617,616,1,POINT (17.81666667 54.78333333)
21,139649.22169608224,616,1,POINT (17.85 54.78333333)
22,117175.28509829768,616,1,POINT (17.88333333 54.78333333)
23,130015.82912355068,616,1,POINT (17.91666667 54.78333333)
24,162460.62328429602,616,1,POINT (17.95 54.78333333)
25,189079.66987142543,616,1,POINT (17.98333333 54.78333333)
26,209945.3648403911,616,1,POINT (18.01666667 54.78333333)
27,173513.04652364744,616,1,POINT (18.05 54.78333333)
28,327619.7354738091,616,1,POINT (18.08333333 54.78333333)
29,1272177.1252033445,616,1,POINT (18.11666667 54.78333333)
30,2481324.74344981,616,1,POINT (18.15 54.78333333)
31,2026800.848422213,616,1,POINT (18.18333333 54.78333333)
32,1004599.7781879983,616,1,POINT (18.21666667 54.78333333)
33,288175.9381372726,616,1,POINT (18.25 54.78333333)
34,490440.7945391539,616,1,POINT (18.28333333 54.78333333)
35,1070258.1278355168,616,1,POINT (18.31666667 54.78333333)
36,6166752.924771849,616,1,POINT (18.35 54.78333333)
37,73023522.25704473,616,1,POINT (18.38333333 54.78333333)
38,88282781.16826387,616,1,POINT (18.41666667 54.78333333)
39,30886.84257682047,616,1,POINT (17.35 54.75)
40,32695.830562109015,616,1,POINT (17.38333333 54.75)
41,31355.838202874336,616,1,POINT (17.41666667 54.75)
42,29597.34191777195,616,1,POINT (17.45 54.75)
43,235781.08783578093,616,1,POINT (17.48333333 54.75)
44,3964902.5281924824,616,1,POINT (17.51666667 54.75)
45,36256370.34162072,616,1,POINT (17.55 54.75)
46,12312004.614049042,616,1,POINT (17.58333333 54.75)
47,741864.8491887044,616,1,POINT (17.61666667 54.75)
48,236931.7218467878,616,1,POINT (17.65 54.75)
49,130943.90785195275,616,1,POINT (17.68333333 54.75)
50,116540.08628266794,616,1,POINT (17.71666667 54.75)
51,116432.51704393631,616,1,POINT (17.75 54.75)
52,116360.6274515745,616,1,POINT (17.78333333 54.75)
53,116350.81010985232,616,1,POINT (17.81666667 54.75)
54,116457.33245797531,616,1,POINT (17.85 54.75)
55,702884.1633467008,616,1,POINT (17.88333333 54.75)
56,315834.09587991005,616,1,POINT (17.91666667 54.75)
