longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_150years,return_level_250years,return_level_500years
10.0500459715326063_46.9502147625329158,64.62243924440027,64.68614345509316,64.70107822783088,64.70666301036282,64.70812248810645,64.70908998849931,64.70965896763764
10.0500459715326063_47.0502152199611032,75.89401280747163,84.73637029891626,91.42535552106486,98.11434074321346,102.02714626604836,106.95669823465809,113.6456834568067
10.0500459715326063_47.1502156773892835,74.80454781592316,80.87812126810253,84.83132083812114,88.30593747935487,90.14004433101574,92.26212903452125,94.83715589110487
10.0500459715326063_47.2502161348174710,81.9935685197307,91.06446127243603,97.41942890481802,103.36859580403875,106.6709379432807,110.6539875193231,115.75805277530878
10.0500459715326063_47.3502165922456584,64.81358240053623,66.71888765817887,67.70629852251764,68.42116610272112,68.7439784211389,69.07277960271571,69.41047365287572
10.0500459715326063_47.4502170496738387,60.15500353553975,62.057340638253734,63.04503348057125,63.76122299583379,64.08504174491408,64.41520593935572,64.75475368375537
10.1500464289607919_46.8502143051047284,60.86439845316166,61.38413822003016,61.583800179824664,61.69616630140712,61.73747041334825,61.77315617084437,61.80273241110166
10.1500464289607919_46.9502147625329158,56.93795064900701,56.98976177317053,57.00225483127681,57.00703559191584,57.00830954170807,57.00916671447491,57.00968058554781
10.1500464289607919_47.0502152199611032,58.083601378331196,58.21870174565518,58.25809382938809,58.27572164022219,58.28107889445943,58.285067174104285,58.28779211157487
10.1500464289607919_47.1502156773892835,56.30459468634302,56.3049562793814,56.304990854283176,56.304997119993864,56.30499799617695,56.30499836177474,56.304998480511685
10.1500464289607919_47.2502161348174710,81.99776078895277,96.68870272961557,108.45826830605749,120.82493622700107,128.34781028741165,138.14084959828693,152.01339628470737
10.1500464289607919_47.3502165922456584,56.93195015510948,57.01664718563226,57.03912105310494,57.048425297025766,57.05107448758484,57.052949901209395,57.054150478775824
10.2500468863889758_46.9502147625329158,57.603336686673686,59.54731291438982,60.57200848611461,61.32461144098626,61.66844321138264,62.02197050096707,62.38955768154901
