osm_id,amenity,building,name,geometry
18751791,school,,Balas Elementary School,"POLYGON ((120.9972896 14.0836825, 120.9974048 14.0828408, 120.9973233 14.0827784, 120.9967628 14.0827361, 120.9966749 14.0835553, 120.9972896 14.0836825))"
18751792,school,,Balas-Buco-Santa Maria National High School,"POLYGON ((120.9965023 14.0842217, 120.9970785 14.084413, 120.9972896 14.0836825, 120.9966749 14.0835553, 120.9965023 14.0842217))"
,,school,,"POLYGON ((120.9965351 14.0841738, 120.9967131 14.084224, 120.9967419 14.0841279, 120.9965638 14.0840777, 120.9965351 14.0841738))"
,,school,,"POLYGON ((120.9969384 14.08428, 120.9969753 14.0841802, 120.996797 14.0841181, 120.99676 14.0842179, 120.9969384 14.08428))"
,,school,,"POLYGON ((121.011852 14.092637, 121.0121041 14.0928139, 121.0121631 14.0927349, 121.011911 14.092558, 121.011852 14.092637))"
,school,,Banga Elementary School,"POLYGON ((121.0119853 14.0931199, 121.0123048 14.0927738, 121.0118931 14.0925081, 121.0116787 14.0929213, 121.0119853 14.0931199))"
,,school,,"POLYGON ((121.0117614 14.0927948, 121.0119565 14.0929399, 121.0119998 14.0928851, 121.0118047 14.0927401, 121.0117614 14.0927948))"
,school,,Talisay Senior High School,"POLYGON ((121.0282453 14.0924318, 121.0276275 14.0920099, 121.0275053 14.0921528, 121.0277563 14.0923612, 121.027453 14.0927578, 121.0278961 14.0928909, 121.0282453 14.0924318))"
1986736337,school,,Talisay High School,POINT (121.021674 14.092473600000002)
,school,,Talisay Polytechnic Institute,"POLYGON ((121.0154757 14.0939103, 121.0160632 14.0939549, 121.0161375 14.093773, 121.0162224 14.0925441, 121.0155394 14.0924892, 121.0154757 14.0939103))"
,school,,San Guillermo Academy,"POLYGON ((121.0214718 14.0946738, 121.0215607 14.094226, 121.021612 14.0936343, 121.0209762 14.0935516, 121.0209296 14.094578, 121.0214718 14.0946738))"
,,school,,"POLYGON ((121.0219291 14.095032, 121.0219354 14.0949056, 121.0217114 14.0948952, 121.0217052 14.0950216, 121.0219291 14.095032))"
,,school,,"POLYGON ((121.0221497 14.0953234, 121.0221604 14.095127, 121.0220337 14.0951205, 121.022023 14.0953169, 121.0221497 14.0953234))"
,,school,,"POLYGON ((121.0217293 14.095408, 121.0217371 14.0953111, 121.0215494 14.0952968, 121.0215415 14.0953936, 121.0217293 14.095408))"
,,school,,"POLYGON ((121.0215133 14.0954368, 121.0215127 14.0952827, 121.0214457 14.0952829, 121.0214463 14.0954371, 121.0215133 14.0954368))"
,,school,,"POLYGON ((121.0221988 14.0954518, 121.0222034 14.0953404, 121.0217515 14.0953231, 121.021747 14.0954345, 121.0221988 14.0954518))"
,school,,"Venancio Trinidad, Sr. Memorial School","POLYGON ((121.0221717 14.0948509, 121.0219314 14.0948438, 121.0217406 14.0948265, 121.0215302 14.0947853, 121.0213396 14.0953658, 121.0212837 14.0955732, 121.0211909 14.0959686, 121.0222952 14.0962308, 121.0224147 14.0954177, 121.0221475 14.095096, 121.0221717 14.0948509))"
,,school,,"POLYGON ((121.0214148 14.0956837, 121.021443 14.0953767, 121.0213415 14.0953679, 121.0213133 14.0956749, 121.0214148 14.0956837))"
,,school,,"POLYGON ((121.0216062 14.0956569, 121.0216158 14.0955251, 121.0215237 14.0955188, 121.0215141 14.0956506, 121.0216062 14.0956569))"
,,school,,"POLYGON ((121.0222978 14.0957879, 121.0223711 14.0954379, 121.0222681 14.0954177, 121.0221948 14.0957676, 121.0222978 14.0957879))"
,,school,,"POLYGON ((121.0215832 14.0959259, 121.0216086 14.0956709, 121.0215094 14.0956616, 121.0214839 14.0959166, 121.0215832 14.0959259))"
,,school,,"POLYGON ((121.0222995 14.0959871, 121.0223304 14.0958134, 121.0222379 14.0957979, 121.022207 14.0959716, 121.0222995 14.0959871))"
,,school,,"POLYGON ((121.0212417 14.0959684, 121.0213059 14.0959788, 121.0215218 14.0960137, 121.0215356 14.0959331, 121.0212555 14.0958879, 121.0212417 14.0959684))"
,,school,,"POLYGON ((121.02189 14.0961197, 121.0219453 14.0958134, 121.0218361 14.0957948, 121.0217808 14.0961011, 121.02189 14.0961197))"
,,school,,"POLYGON ((121.0217144 14.0960828, 121.021733 14.0959933, 121.0215698 14.0959615, 121.0215513 14.0960511, 121.0217144 14.0960828))"
,,school,,"POLYGON ((121.0222729 14.0961799, 121.0223103 14.0960065, 121.0222262 14.0959895, 121.0221889 14.0961628, 121.0222729 14.0961799))"
,,school,,"POLYGON ((121.0221554 14.0960677, 121.0219528 14.0960227, 121.0219317 14.0961121, 121.0221343 14.096157, 121.0221554 14.0960677))"
