osm_id,shop,name,geometry
,supermarket,Puregold,"POLYGON ((120.594298 14.5636878, 120.5941826 14.5635683, 120.5940271 14.5637241, 120.5941344 14.5638357, 120.594298 14.5636878))"
,greengrocer,Limay Store,"POLYGON ((120.5941424 14.5638877, 120.5939949 14.5637319, 120.5938822 14.5638331, 120.5940432 14.5639889, 120.5941424 14.5638877))"
12289927401,supermarket,Vergara Supermarket,POINT (120.5933617 14.563936600000002)
,supermarket,Legends Supermarket,"POLYGON ((120.5781603 14.6166191, 120.5788337 14.6168058, 120.5788913 14.6166994, 120.5789423 14.6157118, 120.5786701 14.6157014, 120.5786781 14.6159856, 120.5777648 14.6160142, 120.5777393 14.6166098, 120.5781603 14.6166191))"
4127161200,bakery,Aquino's Bakery & Store,POINT (120.57785820000001 14.6193559)
9887753807,general,Happy Shopping,POINT (120.57621990000001 14.6258467)
9455034715,general,Ramvel's Marketing,POINT (120.4847203 14.4329256)
,supermarket,Chuzon Supermarket,"POLYGON ((120.4801957 14.4343398, 120.480149 14.4341996, 120.4800626 14.434229, 120.480023 14.434064, 120.4800949 14.4340418, 120.4800731 14.4339893, 120.4797731 14.4338718, 120.479591 14.4339283, 120.4796704 14.4340278, 120.4796237 14.434281, 120.4796937 14.4342946, 120.4797031 14.4343489, 120.479689 14.4344665, 120.4801957 14.4343398))"
4946456380,supermarket,Twenty Oaks Hypermarket,POINT (120.4947824 14.4372568)
2489023421,bakery,Ebio's Bakery,POINT (120.50952790000001 14.632692200000001)
9861014921,bakery,Capitol Bakery,POINT (120.5471849 14.673864700000001)
,supermarket,Elizabeth Bodega Sales,"POLYGON ((120.5236084 14.6761378, 120.5238015 14.6757173, 120.5238449 14.6756258, 120.5235928 14.6755168, 120.5233563 14.6760289, 120.5236084 14.6761378))"
5921734087,bakery,Red Ribbon,POINT (120.5358808 14.676766400000002)
,supermarket,Novo,"POLYGON ((120.543823 14.6773773, 120.5438713 14.6772263, 120.5435372 14.6770987, 120.5434713 14.6772284, 120.543823 14.6773773))"
,supermarket,BRB trading,"POLYGON ((120.5429228 14.6775504, 120.5428016 14.6776978, 120.5429026 14.6777414, 120.5429181 14.6777188, 120.5430627 14.677776, 120.5431124 14.6776497, 120.5429228 14.6775504))"
,supermarket,Elizabeth Supermarket,"POLYGON ((120.5383334 14.6775313, 120.5381939 14.6777959, 120.5383602 14.6778686, 120.5385051 14.6776091, 120.5383334 14.6775313))"
6760862186,supermarket,Super 8,POINT (120.53948240000001 14.677714100000001)
4125081790,bakery,Capitol Bakery,POINT (120.5387807 14.678060200000001)
2696285651,supermarket,Puregold,POINT (120.54018690000001 14.6786218)
1482465306,general,Vetaf's Superstore,POINT (120.54103590000001 14.678760700000002)
,supermarket,TESS,"POLYGON ((120.5420291 14.6788855, 120.5419468 14.6790269, 120.5420571 14.679096, 120.5421706 14.6789472, 120.5420291 14.6788855))"
,bakery,Michelle's Pastery,"POLYGON ((120.5408569 14.6790922, 120.5408096 14.6790437, 120.5407552 14.6791205, 120.5408165 14.6791475, 120.5408569 14.6790922))"
4125081493,bakery,Goldilocks,POINT (120.5402519 14.6791063)
4125082190,greengrocer,,POINT (120.54078600000001 14.679114)
1727257407,supermarket,Robinson Supermarket,POINT (120.54140550000001 14.679171700000001)
4125082591,bakery,Michelle,POINT (120.54152730000001 14.679465400000002)
,supermarket,Vercon's Supermarket,"POLYGON ((120.5422441 14.6794563, 120.5420886 14.679368, 120.5420296 14.6794615, 120.5418954 14.679394, 120.5417828 14.6796275, 120.5420832 14.6797832, 120.5422441 14.6794563))"
,supermarket,,"POLYGON ((120.5425381 14.6798658, 120.5426489 14.6797178, 120.542372 14.6795981, 120.5422988 14.6797808, 120.5425381 14.6798658))"
3570999566,bakery,Red Ribbon,POINT (120.54119050000001 14.679952900000002)
10218563491,supermarket,SM Supermarket,POINT (120.5377715 14.682329800000002)
6735510385,bakery,Michelle's Bakeshop,POINT (120.5404287 14.683516000000001)
,supermarket,Mike-Len Supermart,"POLYGON ((120.5359522 14.7221508, 120.5359616 14.7218925, 120.5357964 14.7218967, 120.535813 14.7221593, 120.5359522 14.7221508))"
2022540214,supermarket,South Emerald Supermarket,POINT (120.53900110000001 14.7898568)
,supermarket,Puregold,"POLYGON ((120.5348946 14.8010456, 120.5347377 14.801072, 120.5347732 14.8012691, 120.5347813 14.8012678, 120.5347913 14.8013235, 120.5348015 14.80138, 120.5348115 14.8014355, 120.534884 14.8014233, 120.5348896 14.8014224, 120.5349021 14.8014203, 120.5349603 14.8014105, 120.5348946 14.8010456))"
11370446325,bakery,Red Ribbon,POINT (120.53520080000001 14.801634300000002)
,supermarket,Elizabeth Super Market Dinalupihan,"POLYGON ((120.4676257 14.8661144, 120.4677308 14.8660096, 120.467521 14.865796, 120.4674487 14.8657145, 120.4672511 14.8658805, 120.4673394 14.8660178, 120.4676257 14.8661144))"
,bakery,Cecilia's Buco Pie,"POLYGON ((120.8645823 14.0760612, 120.8646131 14.0759662, 120.8643277 14.0758721, 120.8642909 14.0759651, 120.8645823 14.0760612))"
11368667320,greengrocer,,POINT (120.88856550000001 14.085720700000001)
11368667318,greengrocer,,POINT (120.8900586 14.0859743)
11368667345,greengrocer,,POINT (120.89170920000001 14.086742800000001)
,bakery,Deli de San Honore,"POLYGON ((120.9059836 14.093003, 120.9060173 14.0929588, 120.9059683 14.0929237, 120.9059346 14.0929679, 120.9059836 14.093003))"
6331263385,bakery,Neri's Bakeshop,POINT (120.88031690000001 14.094230000000001)
11416187328,bakery,Noceda,POINT (120.91748670000001 14.0966778)
2645225889,supermarket,Ultramega Supermarket,POINT (120.91800490000001 14.096855600000001)
11416187341,bakery,Goldilocks,POINT (120.9184616 14.097043300000001)
10253150048,bakery,Red Ribbon,POINT (120.9191313 14.097296900000002)
,supermarket,Savemore Market,"POLYGON ((120.9185691 14.0978268, 120.918662 14.0976768, 120.9186972 14.0976199, 120.9187103 14.0975813, 120.918713 14.0975511, 120.9187137 14.0975427, 120.9186951 14.097505, 120.9186638 14.0974804, 120.9181775 14.0972925, 120.9181584 14.0973384, 120.9181432 14.0973753, 120.9180307 14.0976092, 120.9185691 14.0978268))"
11416187361,bakery,Bakery Supply,POINT (120.9201618 14.097805000000001)
11416253696,bakery,,POINT (120.918638 14.0979048)
4363861290,bakery,Noceda's Bakery,POINT (120.9054205 14.130457700000001)
4242291291,bakery,Esguerra's Bakery,POINT (120.9036195 14.1333987)
12738411693,general,MDMC Enterprise,POINT (120.87830720000001 14.1946819)
12738411676,bakery,Sheena Mae Bakeshop,POINT (120.8783027 14.1950658)
12651011259,bakery,Goldilocks,POINT (120.87810560000001 14.195431300000001)
12703951049,bakery,K-Mong,POINT (120.8786941 14.195963800000001)
11294780569,supermarket,Alfamart,POINT (120.7906868 14.139369700000001)
4593921289,greengrocer,Yakap at Halik Multi-Purpose Cooperative,POINT (120.8072118 14.179104500000001)
10747621517,bakery,Red Ribbon,POINT (120.7966609 14.183625600000001)
4243811231,bakery,,POINT (120.7577356 14.187331400000001)
923902471,bakery,Tauruz Bakery,POINT (120.75417750000001 14.273351400000001)
9699894303,bakery,Malunggay Pandesal Bakery,POINT (120.7551578 14.273535)
11914914769,supermarket,Savemore Express Ternate,POINT (120.71763200000001 14.283313900000001)
1369661200,bakery,Jovena Bakery,POINT (120.71545590000001 14.2870422)
923948006,bakery,Marites and Joel Bakery,POINT (120.71643920000001 14.2911683)
8528554917,bakery,Hufancia Bakeshop,POINT (120.77120140000001 14.3100868)
12706424114,bakery,Curry Moto Bakery,POINT (120.87647980000001 14.1965874)
12706424107,bakery,,POINT (120.8768244 14.196590800000001)
12686495053,bakery,The Bread Impression Bakeshop,POINT (120.8773532 14.196610000000002)
12686495055,bakery,Big Smile Bread Station,POINT (120.87697720000001 14.1967119)
,supermarket,,"POLYGON ((120.8780329 14.2523124, 120.877882 14.2522804, 120.8778591 14.252408, 120.8779999 14.2524267, 120.8780329 14.2523124))"
12682628424,supermarket,Puregold,POINT (120.87644580000001 14.260434)
12754575901,bakery,Rowel Bakery,POINT (120.86623630000001 14.2739215)
6335465388,supermarket,Super8,POINT (120.87089510000001 14.2747595)
