osm_id,amenity,building,healthcare,name,geometry
3787117589,clinic,,clinic,Elvie Pineda,POINT (120.96166910000001 14.114260000000002)
2623054157,hospital,,hospital,Skin Station,POINT (120.9619784 14.1148112)
5078331472,doctors,,,Tagaytay Medical Center,POINT (120.96340140000001 14.117539800000001)
9948629187,hospital,,hospital,Ospital ng Lunsod ng Tagaytay,POINT (120.95771350000001 14.1224524)
12809215790,clinic,,,,POINT (120.93338550000001 14.0951903)
11416187323,clinic,,clinic,Alaban Medical Clinic,POINT (120.91738760000001 14.096668200000002)
3791226668,clinic,,,Bene Sanctuary Clinic,POINT (120.93032500000001 14.0984549)
,,hospital,,,"POLYGON ((120.9402109 14.0992574, 120.9402213 14.0993199, 120.9403286 14.0993031, 120.9402974 14.0991163, 120.9399918 14.0991643, 120.9400126 14.0992885, 120.9402109 14.0992574))"
,hospital,,hospital,Ospital ng Tagaytay,"POLYGON ((120.9403321 14.0989958, 120.9398817 14.0990686, 120.9399485 14.0994351, 120.9402442 14.0995374, 120.9404059 14.0995099, 120.9403321 14.0989958))"
,,hospital,,,"POLYGON ((120.9403156 14.0993719, 120.9403091 14.0993264, 120.9402781 14.0993306, 120.9402846 14.0993761, 120.9403156 14.0993719))"
,,hospital,,,"POLYGON ((120.940267 14.0993771, 120.9402605 14.0993363, 120.940236 14.09934, 120.9402425 14.0993808, 120.940267 14.0993771))"
,hospital,,hospital,Mendez Specialists Medical Center,"POLYGON ((120.9111702 14.1209314, 120.9112353 14.1206403, 120.9099658 14.1203732, 120.9092175 14.1202158, 120.9091697 14.1203893, 120.9091429 14.1204866, 120.9111702 14.1209314))"
,,hospital,,,"POLYGON ((120.9109492 14.1208026, 120.9109911 14.1206113, 120.9101506 14.1204321, 120.9101136 14.1206113, 120.9109492 14.1208026))"
,doctors,,,Barangay Health Center,"POLYGON ((120.8618751 14.1256116, 120.8619813 14.1256375, 120.8619997 14.1255668, 120.8618934 14.1255408, 120.8618751 14.1256116))"
8166189010,doctors,,,Mendez Rural Health Unit,POINT (120.90544290000001 14.1297077)
,clinic,house,,Violy's Maternity Clinic,"POLYGON ((120.9028219 14.1349603, 120.9028776 14.1348091, 120.902763 14.134777, 120.9027557 14.1347484, 120.9026701 14.134714, 120.902595 14.1348931, 120.9028219 14.1349603))"
,hospital,hospital,,De La Salle University Poblete Memorial Hospital,"POLYGON ((120.8554885 14.1400868, 120.8556378 14.1397884, 120.8555842 14.1397632, 120.8555211 14.1398894, 120.8554228 14.1398432, 120.8554039 14.1398811, 120.8554478 14.1399017, 120.8554351 14.1399271, 120.85538 14.1399012, 120.855389 14.1398831, 120.8553525 14.1398659, 120.8552889 14.139993, 120.8554885 14.1400868))"
12744213902,clinic,,clinic,Patacsil Medical Clinic,POINT (120.8785747 14.1922809)
12706403594,clinic,,clinic,Mhavis Medical Center,POINT (120.8761037 14.196548900000002)
12706424115,doctors,,doctor,Riel B. Pulido Family Medicine and Wellness Clinic,POINT (120.8764227 14.196582200000002)
