osm_id,landuse,building,geometry
,,industrial,"POLYGON ((120.8767245 14.1158698, 120.8770457 14.1159661, 120.8771395 14.1156704, 120.8768201 14.1155741, 120.8767245 14.1158698))"
,,industrial,"POLYGON ((120.8770854 14.1159783, 120.8774065 14.1160746, 120.8775004 14.1157788, 120.877181 14.1156826, 120.8770854 14.1159783))"
,industrial,,"POLYGON ((120.8810161 14.1880567, 120.881432 14.1883209, 120.8815672 14.1881208, 120.8811513 14.1878566, 120.8810161 14.1880567))"
,industrial,,"POLYGON ((120.8798224 14.1906284, 120.8797628 14.1907251, 120.8798343 14.1907623, 120.8800165 14.1907188, 120.8800109 14.190592, 120.8800314 14.1905449, 120.8801136 14.1905132, 120.8801454 14.1904951, 120.8801502 14.1904582, 120.8798819 14.1903523, 120.8796841 14.1905353, 120.8798224 14.1906284))"
,industrial,,"POLYGON ((120.8822062 14.1955593, 120.8822303 14.1951092, 120.8817433 14.1950556, 120.8817631 14.1955909, 120.8822062 14.1955593))"
18876259,industrial,yes,"POLYGON ((120.8724346 14.2001355, 120.8724793 14.2000259, 120.8723396 14.1999974, 120.8723079 14.200025, 120.8722939 14.2000739, 120.8723191 14.2000789, 120.8723114 14.2001076, 120.8722931 14.2001034, 120.8722606 14.2002407, 120.8723637 14.2002621, 120.872389 14.2001706, 120.8724005 14.2001277, 120.8724346 14.2001355))"
,industrial,,"POLYGON ((120.8813018 14.2285776, 120.8813896 14.2283691, 120.8822164 14.2285584, 120.8823079 14.2281731, 120.8831403 14.2283007, 120.8832394 14.2280661, 120.8824084 14.2279398, 120.8824435 14.2278134, 120.8817184 14.2276391, 120.8818458 14.2273194, 120.8808067 14.2269722, 120.8799767 14.2281715, 120.8813018 14.2285776))"
,industrial,,"POLYGON ((120.881879 14.2343015, 120.881806 14.2338544, 120.8812996 14.2339459, 120.8812846 14.2342516, 120.881879 14.2343015))"
9524364,industrial,,"POLYGON ((120.8808932 14.2413362, 120.8811138 14.2406816, 120.8801343 14.2403763, 120.8799237 14.2409548, 120.8798897 14.2410482, 120.8808932 14.2413362))"
,,industrial,"POLYGON ((120.8323543 14.1437057, 120.8324082 14.1436084, 120.8318652 14.1433251, 120.8318112 14.1434225, 120.8323543 14.1437057))"
,,industrial,"POLYGON ((120.8278679 14.1448577, 120.8283011 14.1449811, 120.8283381 14.1448591, 120.8279049 14.1447357, 120.8278679 14.1448577))"
,,industrial,"POLYGON ((120.8310548 14.1450952, 120.8311181 14.144973, 120.8305157 14.1446792, 120.8304523 14.1448015, 120.8310548 14.1450952))"
,,industrial,"POLYGON ((120.8303129 14.1450748, 120.8297674 14.1446597, 120.8296841 14.1447626, 120.8302297 14.1451776, 120.8303129 14.1450748))"
,,industrial,"POLYGON ((120.8284032 14.1450189, 120.8288364 14.1451423, 120.8288733 14.1450204, 120.8284402 14.1448969, 120.8284032 14.1450189))"
,industrial,,"POLYGON ((120.4838285 14.4338042, 120.4838781 14.4337542, 120.4837903 14.4334269, 120.4837966 14.4330532, 120.4835985 14.4329489, 120.4833376 14.4333613, 120.4838285 14.4338042))"
,industrial,,"POLYGON ((120.4743281 14.4364752, 120.4749263 14.4360907, 120.4749597 14.4361341, 120.4750938 14.436064, 120.4749933 14.4357427, 120.4741565 14.4359505, 120.4739446 14.4360829, 120.4743281 14.4364752))"
