osm_id,pipeline,man_made,amenity,name,geometry
,,,fuel,Flying V,"POLYGON ((120.8660477 14.0770197, 120.8662867 14.0770966, 120.8663888 14.0768419, 120.8661559 14.0767588, 120.8660477 14.0770197))"
12023849516,,,fuel,Uniol - Alilio Drive,POINT (120.8673502 14.0771735)
,,,fuel,Shell,"POLYGON ((120.9295495 14.0986734, 120.9295858 14.098714, 120.9302351 14.0981635, 120.9300115 14.0981351, 120.9299272 14.0981244, 120.9296201 14.0980855, 120.9295495 14.0986734))"
,,,fuel,Petron,"POLYGON ((120.9293648 14.0988824, 120.9295515 14.0987497, 120.9288815 14.0985965, 120.9287758 14.0992404, 120.9289229 14.0991568, 120.9291819 14.0989969, 120.9293648 14.0988824))"
,,,fuel,Total,"POLYGON ((120.9230956 14.0993652, 120.9229575 14.099829, 120.9233244 14.0999216, 120.9234419 14.0995082, 120.9230956 14.0993652))"
,,,fuel,Clean Fuel,"POLYGON ((120.9412957 14.1024695, 120.9410441 14.10249, 120.94116 14.102675, 120.9413073 14.1026659, 120.9412957 14.1024695))"
,,,fuel,D Rising Gas,"POLYGON ((120.9415623 14.1028547, 120.9415385 14.1027972, 120.9414591 14.1028281, 120.9414829 14.1028856, 120.9415623 14.1028547))"
,,,fuel,FGGA Fuel Station,"POLYGON ((120.7830022 14.0902549, 120.7827863 14.0901938, 120.782732 14.0903743, 120.7829478 14.0904355, 120.7830022 14.0902549))"
,,,fuel,Petron,"POLYGON ((120.8359651 14.0925938, 120.8360147 14.0925586, 120.8359905 14.0925264, 120.8359408 14.0925615, 120.8359651 14.0925938))"
,,,fuel,,"POLYGON ((120.8491557 14.1336259, 120.8494282 14.1337262, 120.8495266 14.1334748, 120.8492541 14.1333745, 120.8491557 14.1336259))"
924905926,,,fuel,gas station,POINT (120.8446105 14.1345247)
,,,fuel,,"POLYGON ((120.8671554 14.0772837, 120.8674602 14.0773707, 120.8675359 14.0771692, 120.8672122 14.0771012, 120.8671554 14.0772837))"
,,,fuel,Petron,"POLYGON ((120.8803889 14.0950175, 120.8806332 14.0950238, 120.8806366 14.0948882, 120.8803987 14.0948802, 120.8803889 14.0950175))"
,,,fuel,Shell,"POLYGON ((120.8805537 14.0978512, 120.8805415 14.0979753, 120.8805856 14.0979812, 120.8805978 14.098058, 120.8807951 14.0980223, 120.8807189 14.0978335, 120.8805537 14.0978512))"
,,,fuel,Oiland gas Station,"POLYGON ((120.8710483 14.1121858, 120.8710034 14.1121479, 120.8709497 14.1122077, 120.8709947 14.1122456, 120.8710483 14.1121858))"
931621504,,,fuel,,POINT (120.8644235 14.118636100000002)
,,,fuel,Altron,"POLYGON ((120.8621206 14.1254554, 120.8623578 14.1255218, 120.8624313 14.1252747, 120.8621941 14.1252083, 120.8621206 14.1254554))"
,,,fuel,Jetti,"POLYGON ((120.861585 14.126969, 120.861538 14.1271739, 120.8617771 14.1272153, 120.8617873 14.1269985, 120.861585 14.126969))"
,,,fuel,Flying V,"POLYGON ((120.9039201 14.1330058, 120.9039965 14.1328328, 120.9038187 14.1327675, 120.9037518 14.1329434, 120.9039201 14.1330058))"
,,,fuel,Shell,"POLYGON ((120.9030809 14.1328584, 120.9030246 14.1330011, 120.9031377 14.1330431, 120.9031941 14.1329004, 120.9030809 14.1328584))"
,,,fuel,Seaoil,"POLYGON ((120.9022709 14.1340863, 120.9022108 14.1341962, 120.9023946 14.1342855, 120.9024491 14.1341618, 120.9022709 14.1340863))"
11141064299,,,fuel,Oiland,POINT (120.90131740000001 14.1401772)
,,,fuel,,"POLYGON ((120.8603987 14.1639711, 120.8603855 14.1638773, 120.8602643 14.1638934, 120.8602775 14.1639872, 120.8603987 14.1639711))"
,,,fuel,Shell,"POLYGON ((120.8886493 14.1821576, 120.8888493 14.1818783, 120.8885874 14.1817561, 120.8882714 14.182008, 120.8886493 14.1821576))"
,,,fuel,PTT,"POLYGON ((120.8827264 14.1865198, 120.8824725 14.1863945, 120.8823676 14.1865941, 120.8826216 14.1867195, 120.8827264 14.1865198))"
,,,fuel,Petron,"POLYGON ((120.8752124 14.1969023, 120.87525 14.1966296, 120.8750804 14.1966201, 120.8750567 14.1968835, 120.8752124 14.1969023))"
,,,fuel,PTT,"POLYGON ((120.8759207 14.1976557, 120.8759682 14.1974773, 120.8759971 14.1973689, 120.8759172 14.1974043, 120.8757822 14.197404, 120.8754613 14.1974026, 120.8751875 14.1974031, 120.8751399 14.1976669, 120.8759207 14.1976557))"
4887690822,,,fuel,Gasso,POINT (120.89065300000001 14.200196900000002)
12715207502,,,fuel,Sea10,POINT (120.87152150000001 14.2060182)
,,,fuel,Petron,"POLYGON ((120.8896143 14.207417, 120.8896269 14.2072383, 120.8893827 14.207222, 120.88937 14.2074007, 120.8896143 14.207417))"
,,,fuel,iCoop Fuel,"POLYGON ((120.8852431 14.2239535, 120.8854309 14.2240107, 120.8855596 14.2237143, 120.8853772 14.2236467, 120.8852431 14.2239535))"
9931276621,,,fuel,Gasso,POINT (120.9314411 14.1030162)
,,,fuel,Fuel Express,"POLYGON ((120.9395889 14.1097673, 120.9397437 14.1092962, 120.9394513 14.1093125, 120.9393249 14.1096849, 120.9395889 14.1097673))"
924127374,,,fuel,,POINT (120.9246875 14.164717600000001)
,,,fuel,Petron,"POLYGON ((120.9241486 14.1723425, 120.9239314 14.1723272, 120.9239517 14.1725004, 120.9242213 14.1725222, 120.9241486 14.1723425))"
,,,fuel,Petron,"POLYGON ((120.9341982 14.1952384, 120.9341419 14.1949602, 120.933812 14.1949888, 120.933879 14.1952332, 120.9341982 14.1952384))"
12679927941,,,fuel,Oiland,POINT (120.93484860000001 14.2039103)
,,,fuel,Phoenix,"POLYGON ((120.9264668 14.2218773, 120.9263497 14.2219007, 120.9261792 14.2218406, 120.9261 14.222035, 120.926292 14.2221102, 120.9263385 14.2221602, 120.9264668 14.2218773))"
,,,fuel,Uno Fuel,"POLYGON ((120.9179946 14.2535335, 120.9180184 14.2534651, 120.9178784 14.2534193, 120.9178545 14.2534877, 120.9179946 14.2535335))"
335162859,,,fuel,Petron,POINT (120.9147159 14.268486300000001)
335162835,,,fuel,Interoil Gas Station,POINT (120.9155803 14.278466000000002)
,,,fuel,Green Oil,"POLYGON ((120.4844657 14.4322988, 120.4844223 14.4322532, 120.4843302 14.4323357, 120.4843736 14.4323812, 120.4844657 14.4322988))"
4125081291,,,fuel,Total Gas Station,POINT (120.4873754 14.4352023)
,,,fuel,,"POLYGON ((120.4736025 14.4358638, 120.4736613 14.4358455, 120.4736302 14.4357512, 120.4735714 14.4357694, 120.4736025 14.4358638))"
,,,fuel,One Source,"POLYGON ((120.4937342 14.4364861, 120.4938441 14.436197, 120.4935405 14.4360916, 120.4934306 14.4363884, 120.4937342 14.4364861))"
,,,fuel,Petron,"POLYGON ((120.4709047 14.4367585, 120.4708872 14.4367241, 120.4708234 14.4367546, 120.470841 14.436789, 120.4709047 14.4367585))"
,,,fuel,Shell,"POLYGON ((120.5004498 14.4409673, 120.5004491 14.4408105, 120.5003787 14.4408108, 120.5003794 14.4409676, 120.5004498 14.4409673))"
,,,fuel,Total - Mariveles FAB,"POLYGON ((120.5074505 14.4455195, 120.5074522 14.445489, 120.5074915 14.4454676, 120.5075585 14.4453742, 120.5070016 14.4443585, 120.5070533 14.4455225, 120.5074505 14.4455195))"
,,,fuel,Petron,"POLYGON ((120.5095481 14.4476158, 120.5101382 14.4475119, 120.5101953 14.4474321, 120.5097764 14.4470825, 120.5094891 14.4468469, 120.509296 14.4470599, 120.5091243 14.447356, 120.5095481 14.4476158))"
,,,fuel,Star Oil Gas Station,"POLYGON ((120.5252337 14.4535401, 120.5250996 14.4533246, 120.5247523 14.4535505, 120.5250232 14.4539401, 120.5252337 14.4535401))"
,,,fuel,Shell,"POLYGON ((120.5384302 14.4635045, 120.5383793 14.4632701, 120.5379997 14.4633091, 120.5380614 14.4635954, 120.5384302 14.4635045))"
,,,fuel,Caltex,"POLYGON ((120.5074695 14.6325638, 120.5075788 14.6325619, 120.5076532 14.6325509, 120.5079482 14.6324237, 120.5074064 14.6322693, 120.50733 14.6325372, 120.5074695 14.6325638))"
,,,fuel,Oilbox,"POLYGON ((120.5183566 14.6335922, 120.5184022 14.6335662, 120.5184357 14.633539, 120.5185416 14.6333638, 120.518091 14.6333794, 120.5180843 14.6335922, 120.5183566 14.6335922))"
,,,fuel,Petron,"POLYGON ((120.5410024 14.6433123, 120.5414089 14.6425778, 120.5410467 14.6423936, 120.5406497 14.6431488, 120.5410024 14.6433123))"
,,,fuel,Total,"POLYGON ((120.5391679 14.6466777, 120.539209 14.6466062, 120.5390089 14.6464985, 120.5389678 14.6465701, 120.5391679 14.6466777))"
,,,fuel,PTT,"POLYGON ((120.5377301 14.6481847, 120.5378715 14.6478864, 120.5375892 14.6478062, 120.5374865 14.6481125, 120.5377301 14.6481847))"
,,,fuel,Caltex,"POLYGON ((120.5328003 14.6580234, 120.5331248 14.6581752, 120.5331677 14.6581168, 120.5329014 14.6578305, 120.5328003 14.6580234))"
,,,fuel,Shell Gas Station,"POLYGON ((120.5257657 14.6708577, 120.5252346 14.6705749, 120.5248242 14.6712314, 120.5255001 14.6712781, 120.5257657 14.6708577))"
,,,fuel,Unioil,"POLYGON ((120.5250125 14.6713413, 120.5247335 14.6713336, 120.5245914 14.6715489, 120.5248488 14.6716748, 120.5250125 14.6713413))"
,,,fuel,Shell,"POLYGON ((120.5469532 14.6738668, 120.5471296 14.6736978, 120.5468783 14.6734525, 120.5467019 14.6736216, 120.5469532 14.6738668))"
