osm_id,power,voltage,utility,name,geometry
100132769,line,230000,,Bay-Batangas,"LINESTRING (121.2121991 14.0907381, 121.2125883 14.0880205, 121.2130695 14.0852675, 121.2129898 14.0820364, 121.2129253 14.07828, 121.2128877 14.0766045, 121.21284810563324 14.075338118147869)"
1085435442,tower,,,,POINT (121.09921070000001 14.0931051)
1085435445,tower,,,,POINT (121.0960349 14.0940104)
1085435451,tower,,,,POINT (121.09221550000001 14.094707600000001)
1103229059,tower,,,,POINT (121.12002930000001 14.0757258)
1085435486,tower,,,,POINT (121.08071410000001 14.1022928)
1085435485,tower,,,,POINT (121.07790320000001 14.102896300000001)
1085435488,tower,,,,POINT (121.07497420000001 14.1051023)
1085435463,tower,,,,POINT (121.0718623 14.1074128)
4943364787,pole,,,,POINT (121.0705047 14.2206197)
4943364786,pole,,,,POINT (121.07152760000001 14.221134600000001)
4943364785,pole,,,,POINT (121.07237110000001 14.2215877)
4943364784,pole,,,,POINT (121.0739898 14.2224202)
4943364783,pole,,,,POINT (121.07573730000001 14.2231339)
1103229044,tower,,,,POINT (121.1176786 14.0778607)
1103229061,tower,,,,POINT (121.1145364 14.0798778)
1103229054,tower,,,,POINT (121.11004430000001 14.0826357)
1085435478,tower,,,,POINT (121.10743230000001 14.0865904)
1085435438,tower,,,,POINT (121.10510620000001 14.0901399)
1085435475,tower,,,,POINT (121.1034051 14.092459900000001)
,generator,,,,"POLYGON ((121.119287 14.1265492, 121.1192881 14.1265154, 121.118956 14.1265091, 121.118956 14.1265429, 121.119287 14.1265492))"
,generator,,,,"POLYGON ((121.1193678 14.1266039, 121.1193687 14.1265701, 121.118956 14.1265597, 121.118956 14.1265935, 121.1193678 14.1266039))"
,generator,,,,"POLYGON ((121.118866 14.1266172, 121.1188655 14.126651, 121.1193664 14.1266621, 121.1193672 14.1266283, 121.118866 14.1266172))"
,generator,,,,"POLYGON ((121.1194732 14.1266634, 121.1194736 14.1266296, 121.1193932 14.1266289, 121.1193921 14.1266627, 121.1194732 14.1266634))"
,generator,,,,"POLYGON ((121.1188653 14.1266666, 121.1188649 14.1267003, 121.1193652 14.1267114, 121.119366 14.1266776, 121.1188653 14.1266666))"
,generator,,,,"POLYGON ((121.119551 14.1267181, 121.1195513 14.1266843, 121.1193914 14.1266822, 121.1193903 14.126716, 121.119551 14.1267181))"
,generator,,,,"POLYGON ((121.1188647 14.1267187, 121.1188643 14.1267524, 121.1193639 14.1267635, 121.1193647 14.1267298, 121.1188647 14.1267187))"
,generator,,,,"POLYGON ((121.1196371 14.1267687, 121.1196378 14.1267349, 121.1193897 14.1267321, 121.1193886 14.1267659, 121.1196371 14.1267687))"
,generator,,,,"POLYGON ((121.1193624 14.1268226, 121.1193633 14.1267888, 121.118773 14.1267768, 121.1187723 14.1268106, 121.1193624 14.1268226))"
,generator,,,,"POLYGON ((121.1197183 14.126826, 121.1197195 14.1267922, 121.1193879 14.1267859, 121.1193868 14.1268197, 121.1197183 14.126826))"
,generator,,,,"POLYGON ((121.1193611 14.1268759, 121.119362 14.1268421, 121.1187719 14.1268301, 121.1187713 14.1268639, 121.1193611 14.1268759))"
,generator,,,,"POLYGON ((121.1198051 14.126885, 121.1198063 14.1268512, 121.119386 14.1268418, 121.1193849 14.1268756, 121.1198051 14.126885))"
,generator,,,,"POLYGON ((121.1193599 14.1269266, 121.1193607 14.1268928, 121.118771 14.1268808, 121.1187703 14.1269146, 121.1193599 14.1269266))"
,generator,,,,"POLYGON ((121.1198871 14.12694, 121.1198898 14.1269063, 121.1193843 14.1268921, 121.1193832 14.1269259, 121.1198871 14.12694))"
,generator,,,,"POLYGON ((121.1193585 14.1269812, 121.1193594 14.1269474, 121.1187699 14.1269355, 121.1187693 14.1269693, 121.1193585 14.1269812))"
,generator,,,,"POLYGON ((121.1198827 14.1269951, 121.1198854 14.1269615, 121.1193823 14.1269506, 121.1193812 14.1269844, 121.1198827 14.1269951))"
,generator,,,,"POLYGON ((121.1193572 14.1270351, 121.119358 14.1270014, 121.1187689 14.1269894, 121.1187682 14.1270232, 121.1193572 14.1270351))"
,generator,,,,"POLYGON ((121.120048 14.1270535, 121.1200492 14.1270197, 121.1193805 14.1270045, 121.1193794 14.1270383, 121.120048 14.1270535))"
,generator,,,,"POLYGON ((121.11885 14.1270473, 121.1188486 14.127081, 121.1193558 14.1270923, 121.1193566 14.1270586, 121.11885 14.1270473))"
,generator,,,,"POLYGON ((121.1201403 14.1271059, 121.1201413 14.1270721, 121.1193787 14.1270565, 121.1193776 14.1270902, 121.1201403 14.1271059))"
