osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
12561298775,tower,communication,,,Karagatan Smart Cellsite Tower,POINT (120.5158992 14.439987100000002)
1953830057,tower,communication,,,,POINT (120.50156600000001 14.4482814)
11209410987,tower,communication,,,,POINT (120.56765220000001 14.4564485)
1082119789,tower,communication,,,,"LINESTRING (120.5573129 14.4590304, 120.5572991 14.4589023, 120.5574243 14.4588897, 120.5574381 14.4590178, 120.5573129 14.4590304)"
473723757,tower,communication,,,,"LINESTRING (120.529747 14.4595543, 120.5298281 14.4595631, 120.5298373 14.4594827, 120.5297563 14.4594739, 120.529747 14.4595543)"
473752419,tower,communication,,,,"LINESTRING (120.531084 14.4606193, 120.5311351 14.4606455, 120.5311713 14.4605792, 120.5311202 14.460553, 120.531084 14.4606193)"
1324108114,,,,,Southeast Asia-Japan Cable,"LINESTRING (120.53714482765179 14.075338118147869, 120.39379207352661 14.090657861889204)"
2085571488,tower,communication,,,,POINT (120.618701 14.1233853)
7234956808,tower,communication,,,,POINT (120.59705790000001 14.1306863)
9685720256,tower,communication,,,,POINT (120.5799664 14.132847100000001)
469390070,tower,communication,,,,"LINESTRING (120.581793 14.4531492, 120.5818672 14.4530797, 120.5817804 14.4529927, 120.5817061 14.4530622, 120.581793 14.4531492)"
1080800381,tower,communication,,,,"LINESTRING (120.5989263 14.4660579, 120.5988899 14.466009, 120.5989373 14.465976, 120.5989736 14.466025, 120.5989263 14.4660579)"
1080800383,tower,communication,,,,"LINESTRING (120.6020009 14.4814614, 120.6019707 14.4814173, 120.6020431 14.4813707, 120.6020734 14.4814148, 120.6020009 14.4814614)"
1080795578,tower,communication,,,,"LINESTRING (120.6012229 14.490412, 120.6011515 14.4903527, 120.6012002 14.4902978, 120.6012715 14.4903571, 120.6012229 14.490412)"
9302286591,tower,communication,,,,POINT (120.59395300000001 14.523946400000002)
475816523,tower,communication,,,,"LINESTRING (120.5881932 14.5403336, 120.5882448 14.5402544, 120.5881232 14.5401802, 120.5880716 14.5402594, 120.5881932 14.5403336)"
1080785294,tower,communication,,,,"LINESTRING (120.5881165 14.5404303, 120.5880059 14.5403581, 120.5880671 14.5402701, 120.5881778 14.5403423, 120.5881165 14.5404303)"
9327531653,tower,communication,,,,POINT (120.58873240000001 14.569939600000001)
