osm_id,reservoir_type,man_made,utility,natural,name,geometry
4313904235,,wastewater_plant,,,,POINT (121.22279560000001 14.090133600000001)
,,wastewater_plant,,,,"POLYGON ((121.2300698 14.0929269, 121.2297032 14.0925788, 121.2294644 14.0928208, 121.2298449 14.0931615, 121.2300698 14.0929269))"
4313904236,,wastewater_plant,,,,POINT (121.21754430000001 14.093354300000001)
,,wastewater_plant,,,,"POLYGON ((121.2141551 14.0962856, 121.2140112 14.0964885, 121.2141311 14.0965685, 121.214275 14.0963656, 121.2141551 14.0962856))"
,,wastewater_plant,,,,"POLYGON ((121.2146967 14.0966343, 121.2143417 14.0963707, 121.214169 14.0965895, 121.2144738 14.0968159, 121.2143593 14.096961, 121.2140291 14.0967159, 121.2139371 14.0968324, 121.2143174 14.0971148, 121.2146967 14.0966343))"
,,wastewater_plant,,,,"POLYGON ((121.214232 14.097147, 121.2140641 14.0970229, 121.2139659 14.0971479, 121.2141338 14.0972719, 121.214232 14.097147))"
,,wastewater_plant,,,UPLB Sewage Treatment Plant,"POLYGON ((121.2445782 14.1615874, 121.2445446 14.1616791, 121.244511 14.1619104, 121.2445121 14.1621434, 121.244523 14.1623461, 121.2445553 14.1624904, 121.2446351 14.1626426, 121.2446963 14.1627382, 121.2447656 14.1626074, 121.2449935 14.1621776, 121.2448815 14.1621198, 121.2449089 14.162069, 121.2448596 14.1620448, 121.2449409 14.1619007, 121.2449902 14.1619264, 121.2450224 14.1618725, 121.2451256 14.1619236, 121.2451511 14.1618742, 121.2445782 14.1615874))"
,,wastewater_plant,,,Carmelray Industrial Park II Sewage Treatment Plant,"POLYGON ((121.1264288 14.1796089, 121.1257796 14.1801123, 121.1261802 14.1806127, 121.1268489 14.180145, 121.1264288 14.1796089))"
,,wastewater_plant,,,LISP II Centralized Wastewater Treatment Plant,"POLYGON ((121.1472648 14.1928929, 121.1470342 14.1927915, 121.1468947 14.1930932, 121.1467123 14.193023, 121.146417 14.1933219, 121.1466479 14.1936184, 121.1477315 14.1936776, 121.1472648 14.1928929))"
,,wastewater_plant,,,Centralized Sewage Treatment Plant,"POLYGON ((121.1339287 14.2020049, 121.1341995 14.2015955, 121.133725 14.2014037, 121.1335284 14.2018616, 121.1339287 14.2020049))"
,,wastewater_plant,,,,"POLYGON ((121.0958496 14.2176904, 121.0960337 14.2172041, 121.0961498 14.2168799, 121.0950717 14.2163312, 121.0947646 14.2169045, 121.0958496 14.2176904))"
,,wastewater_plant,,,,"POLYGON ((121.0774079 14.3115526, 121.0775876 14.3117958, 121.0776005 14.312031, 121.0778794 14.3125818, 121.0782785 14.3128661, 121.0782769 14.312379, 121.0778735 14.3119624, 121.0782884 14.311479, 121.0777984 14.3113088, 121.0774079 14.3115526))"
,,wastewater_plant,,,Cardona Water Treatment Plant,"POLYGON ((121.2208324 14.4956621, 121.2201361 14.4948216, 121.2203524 14.4946496, 121.2202793 14.4945454, 121.2207741 14.4944305, 121.220715 14.4943506, 121.2205233 14.4940916, 121.2201949 14.4940042, 121.2199105 14.4941085, 121.2200356 14.494246, 121.2197412 14.4945612, 121.2191233 14.4947817, 121.2191007 14.4950378, 121.218845 14.4952998, 121.2190837 14.4954292, 121.2186076 14.4957763, 121.2190595 14.496271, 121.2191454 14.4962178, 121.2195826 14.4965813, 121.2208324 14.4956621))"
17648887,,wastewater_plant,,,Ilugin Sewage Treatment Plant,"POLYGON ((121.0967397 14.5562835, 121.0968611 14.5560344, 121.0969224 14.5558258, 121.0969756 14.5554372, 121.0968077 14.5554079, 121.0966328 14.5553329, 121.0959072 14.5544905, 121.0955451 14.5542101, 121.0952568 14.5541945, 121.0950556 14.5543204, 121.0947673 14.5546592, 121.0945457 14.5547787, 121.0941523 14.5548677, 121.0939322 14.5548387, 121.0937822 14.5550105, 121.0942577 14.5553485, 121.0950087 14.555895, 121.0947888 14.5561793, 121.0953963 14.5566388, 121.095816 14.5569296, 121.0959837 14.5571295, 121.09604 14.557306, 121.0967159 14.5576305, 121.0967615 14.5575604, 121.0960681 14.5571931, 121.0961393 14.5570866, 121.0964732 14.5567738, 121.0966694 14.5564155, 121.0967397 14.5562835))"
,,wastewater_plant,,,,"POLYGON ((121.2260413 14.5870929, 121.2260361 14.5873123, 121.2265885 14.5873292, 121.2266193 14.5866633, 121.2261647 14.5865816, 121.2259944 14.5868431, 121.2260413 14.5870929))"
,,wastewater_plant,,,,"POLYGON ((121.2381837 14.588056, 121.2379906 14.5879833, 121.2375388 14.5879072, 121.237438 14.5880144, 121.2379248 14.5884648, 121.2381086 14.5882818, 121.2383098 14.5881337, 121.2381837 14.588056))"
,,wastewater_plant,,,,"POLYGON ((121.1037386 14.6052923, 121.103462 14.6051966, 121.1035364 14.6056064, 121.1036441 14.6056141, 121.1037386 14.6052923))"
,,wastewater_plant,,,Karangalan Sewerage Treatment Plant,"POLYGON ((121.1018845 14.6119984, 121.1019107 14.6122313, 121.1020609 14.6122112, 121.1021516 14.6119795, 121.1018845 14.6119984))"
,,wastewater_plant,,,Olandes Sewage Treatment Plant,"POLYGON ((121.0799521 14.6196516, 121.0794926 14.6192703, 121.0792721 14.6193949, 121.0800148 14.6203841, 121.0801627 14.6203064, 121.0805859 14.6204266, 121.0807315 14.6203344, 121.0805564 14.6201013, 121.0799521 14.6196516))"
,,wastewater_plant,,,,"POLYGON ((121.0785959 14.6601079, 121.0803752 14.6604183, 121.0808195 14.658605, 121.0787908 14.6583841, 121.0785959 14.6601079))"
,,wastewater_plant,,,San Mateo Landfill Leachate Pond,"POLYGON ((121.2109535 14.6645044, 121.2114588 14.6633682, 121.2108371 14.6631361, 121.2107231 14.6633841, 121.2105307 14.6632942, 121.2101605 14.6641647, 121.2109535 14.6645044))"
15695705,,wastewater_plant,,,Marikina North Sewage Treatment Plant,"POLYGON ((121.0998563 14.6672212, 121.0997044 14.6676798, 121.0996838 14.6678063, 121.0996586 14.6680306, 121.1007272 14.6678575, 121.1009478 14.667898, 121.1011417 14.6678542, 121.1011339 14.6678065, 121.1010209 14.6671196, 121.1009964 14.6663634, 121.1010148 14.666251, 121.1011368 14.6660541, 121.100641 14.6660383, 121.0998563 14.6672212))"
,,wastewater_plant,,,,"POLYGON ((121.1677947 14.6938948, 121.167813 14.6936934, 121.1675138 14.6936662, 121.1674955 14.6938676, 121.1677947 14.6938948))"
,,wastewater_plant,,,Treatment Plant,"POLYGON ((121.0723915 14.7151869, 121.0712659 14.7142517, 121.0709289 14.7146311, 121.0720546 14.7155663, 121.0723915 14.7151869))"
,,wastewater_plant,,,,"POLYGON ((121.0702335 14.7224643, 121.070768 14.7219167, 121.0712745 14.7213979, 121.0702406 14.7204537, 121.0691995 14.7215202, 121.0702335 14.7224643))"
,,wastewater_plant,,,San Rafael Treatment Plant,"POLYGON ((121.1525984 14.7378776, 121.1526132 14.7375818, 121.1521994 14.7375557, 121.1519337 14.7375339, 121.1519104 14.7378477, 121.1525984 14.7378776))"
,,wastewater_plant,,,Prime Water-San Jose Water Treatment Facility,"POLYGON ((121.0776544 14.8427246, 121.0772218 14.8405024, 121.0764145 14.8406493, 121.0768475 14.8428714, 121.0776544 14.8427246))"
,,wastewater_plant,,,,"POLYGON ((121.0780502 14.8440323, 121.0779553 14.8435668, 121.0770347 14.8437422, 121.0771297 14.8442078, 121.0780502 14.8440323))"
,,wastewater_plant,,,Tagaytay Sewage Treatment PLant,"POLYGON ((120.9035846 14.1143234, 120.9034362 14.1145848, 120.9033121 14.1147861, 120.9034567 14.1148515, 120.9037229 14.1143914, 120.9035846 14.1143234))"
,,wastewater_plant,,,,"POLYGON ((120.7696566 14.1450604, 120.7694948 14.1449857, 120.769478 14.1450199, 120.7694414 14.145003, 120.7693143 14.1452615, 120.7691256 14.1451743, 120.7689215 14.1455898, 120.7693087 14.1457686, 120.7696566 14.1450604))"
,,wastewater_plant,,,,"POLYGON ((120.7693698 14.1462642, 120.7689889 14.1460936, 120.7689309 14.1462154, 120.7693118 14.146386, 120.7693698 14.1462642))"
,,wastewater_plant,,,,"POLYGON ((120.9701316 14.2048143, 120.9701955 14.2047213, 120.9700116 14.2046076, 120.969961 14.2047045, 120.9701316 14.2048143))"
,,wastewater_plant,,,,"POLYGON ((120.9219778 14.2899022, 120.9219329 14.2896628, 120.9218539 14.2896768, 120.9218988 14.2899161, 120.9219778 14.2899022))"
,,wastewater_plant,,,,"POLYGON ((120.9144223 14.2911899, 120.9144209 14.291325, 120.9144665 14.2913254, 120.9144679 14.2911903, 120.9144223 14.2911899))"
,,wastewater_plant,,,Sewerage Treatment Plant,"POLYGON ((120.9581121 14.3019845, 120.9581287 14.3019714, 120.9581143 14.3019542, 120.9580977 14.3019673, 120.9581121 14.3019845))"
917832837,,pipeline,,,,"LINESTRING (120.9695551 14.3083034, 120.9694763 14.3082432)"
,,wastewater_plant,,,FAB Sewage Treatment Plant,"POLYGON ((120.497845 14.4372563, 120.4988491 14.4376167, 120.4990963 14.4377055, 120.4994211 14.4355528, 120.4994414 14.4349728, 120.4985897 14.4347288, 120.4976773 14.4371975, 120.497845 14.4372563))"
,,wastewater_plant,,,,"POLYGON ((121.0211708 14.2922894, 121.0213613 14.2920789, 121.0212117 14.2919518, 121.0210213 14.2921624, 121.0211708 14.2922894))"
16225371,,wastewater_plant,,,Carmona Water District Septage Treatment Facility,"POLYGON ((121.0580113 14.3002128, 121.0584795 14.3003679, 121.0587305 14.2999838, 121.0586261 14.299918, 121.0583901 14.2999232, 121.0581162 14.2998913, 121.0580113 14.3002128))"
,,wastewater_plant,,,Muntinlupa Sewage Treatment Plant,"POLYGON ((121.052945 14.3853995, 121.0530039 14.3851033, 121.0517205 14.3848734, 121.0517004 14.3849656, 121.0515904 14.3849604, 121.0515261 14.3852254, 121.0512203 14.3852202, 121.0511962 14.3852942, 121.0511465 14.3853111, 121.0511439 14.3854891, 121.051282 14.3855385, 121.0518989 14.385558, 121.0529101 14.3854436, 121.052945 14.3853995))"
,,wastewater_plant,,,,"POLYGON ((121.0060465 14.4046616, 121.0059779 14.4045378, 121.0058832 14.404587, 121.0059518 14.4047108, 121.0060465 14.4046616))"
,,wastewater_plant,,,Filinvest City Sewage Treatment Plant,"POLYGON ((121.044202 14.4232712, 121.0441646 14.4232006, 121.0441362 14.4230097, 121.0441151 14.4228269, 121.0431249 14.4228027, 121.0431153 14.4229981, 121.0432829 14.4231235, 121.0435465 14.4231917, 121.0435399 14.4233088, 121.0436022 14.4233592, 121.0436838 14.4233194, 121.0437401 14.4232977, 121.0438972 14.4233389, 121.0439353 14.4233961, 121.0441489 14.4232607, 121.044202 14.4232712))"
