osm_id,man_made,pump,pipeline,emergency,name,geometry
9401996414,,,,fire_hydrant,,POINT (120.5931843 14.1312709)
7125592548,,,,fire_hydrant,,POINT (120.5930089 14.131827000000001)
8945629937,,,,fire_hydrant,,POINT (120.592966 14.131997400000001)
9658167293,,,,fire_hydrant,,POINT (120.5954308 14.132306000000002)
8724064650,,,,fire_hydrant,,POINT (120.59129320000001 14.132554500000001)
9658167308,,,,fire_hydrant,,POINT (120.59276790000001 14.132873300000002)
8724129114,,,,fire_hydrant,,POINT (120.58158700000001 14.132936800000001)
8686651094,,,,fire_hydrant,,POINT (120.5953427 14.1342946)
1739372129,water_tower,,,,,POINT (120.86296150000001 14.076115300000001)
7965980436,water_tower,,,,,POINT (120.85983660000001 14.0794613)
6078614185,water_tower,,,,,POINT (120.8598056 14.0795261)
7959815852,water_tower,,,,,POINT (120.87258920000001 14.0807999)
2188387644,water_tower,,,,,POINT (120.87509490000001 14.082884100000001)
7965980476,water_tower,,,,,POINT (120.85616470000001 14.085145800000001)
2188387712,water_tower,,,,,POINT (120.88699930000001 14.086597200000002)
11368945866,storage_tank,,,,,POINT (120.89604770000001 14.088543300000001)
2188387744,water_tower,,,,,POINT (120.87603670000001 14.0896232)
376301656,water_tower,,,,,"LINESTRING (120.9266588 14.0982095, 120.9266624 14.0982195, 120.9266624 14.0982301, 120.926659 14.0982402, 120.9266525 14.0982487, 120.9266434 14.0982547, 120.9266329 14.0982576, 120.926622 14.0982571, 120.9266118 14.0982533, 120.9266031 14.0982462, 120.9265974 14.0982367, 120.9265952 14.0982259, 120.9265968 14.098215, 120.9266021 14.0982052, 120.9266104 14.0981977, 120.9266207 14.0981933, 120.9266321 14.0981924, 120.926643 14.0981952, 120.9266521 14.0982011, 120.9266588 14.0982095)"
407864437,water_works,,,,TCWD,"LINESTRING (120.9396599 14.1085509, 120.9396466 14.1085936, 120.9397042 14.1086092, 120.9397068 14.1085912, 120.9397246 14.1085932, 120.9397242 14.1085697, 120.9396599 14.1085509)"
1660920746,water_tower,,,,,POINT (120.93635830000001 14.1147705)
5144583621,,,,fire_hydrant,,POINT (120.94139510000001 14.267616400000001)
996592376,water_tower,,,water_tank,,"LINESTRING (120.9355339 14.275384, 120.9355463 14.2753663, 120.9355659 14.2753564, 120.9355879 14.2753566, 120.9356072 14.2753669, 120.9356192 14.2753848, 120.9356211 14.2754061, 120.9356151 14.2754219, 120.9356033 14.2754343, 120.9355875 14.2754415, 120.9355701 14.2754425, 120.9355515 14.2754356, 120.9355376 14.2754216, 120.9355314 14.2754032, 120.9355339 14.275384)"
5258720321,,,,fire_hydrant,,POINT (120.94119760000001 14.2762647)
353737228,water_tower,,,,Water Tank,"LINESTRING (120.9379795 14.2812608, 120.9379886 14.2812502, 120.9380013 14.2812438, 120.9380155 14.2812427, 120.938029 14.2812471, 120.9380398 14.2812562, 120.938046 14.2812687, 120.9380468 14.2812819, 120.9380425 14.2812945, 120.9380337 14.2813046, 120.9380216 14.2813107, 120.938008 14.2813121, 120.9379944 14.2813082, 120.9379834 14.2812996, 120.9379767 14.2812875, 120.9379753 14.2812739, 120.9379795 14.2812608)"
996592557,water_tower,,,water_tank,,"LINESTRING (120.9321228 14.2844831, 120.9321352 14.2844654, 120.9321547 14.2844555, 120.9321767 14.2844557, 120.9321961 14.284466, 120.9322081 14.2844839, 120.9322099 14.2845052, 120.9322039 14.284521, 120.9321921 14.2845334, 120.9321764 14.2845407, 120.932159 14.2845416, 120.9321403 14.2845347, 120.9321265 14.2845207, 120.9321202 14.2845023, 120.9321228 14.2844831)"
12145169412,,,,fire_hydrant,,POINT (120.93384110000001 14.2850082)
11166685207,storage_tank,,,,,POINT (120.90819880000001 14.0900543)
6402072785,water_tower,,,,,POINT (120.84757080000001 14.091074500000001)
7965231323,water_tower,,,,,POINT (120.8398133 14.091125600000002)
10860916733,water_tower,,,,,POINT (120.9113238 14.0929148)
414074081,water_works,,,,Tagaytay Water District,"LINESTRING (120.9023488 14.1068084, 120.9024025 14.1068513, 120.9024464 14.1067997, 120.9023928 14.1067568, 120.9023488 14.1068084)"
2173348406,water_tower,,,,,POINT (120.8490622 14.151431100000002)
12695709082,storage_tank,,,,,POINT (120.88022590000001 14.196405100000002)
910570905,water_tower,,,,,POINT (120.90308060000001 14.2001784)
672323151,water_tower,,,water_tank,,"LINESTRING (120.8902328 14.2160841, 120.8902351 14.2160992, 120.890245 14.2161111, 120.8902596 14.2161166, 120.8902751 14.2161144, 120.8902874 14.2161048, 120.8902931 14.2160906, 120.8902908 14.2160756, 120.8902809 14.2160637, 120.8902663 14.2160581, 120.8902508 14.2160604, 120.8902385 14.21607, 120.8902328 14.2160841)"
745297038,water_tower,,,water_tank,,"LINESTRING (120.9145389 14.2397331, 120.9145428 14.2397211, 120.914552 14.2397122, 120.9145644 14.2397085, 120.9145789 14.2397117, 120.9145895 14.2397218, 120.9145929 14.2397359, 120.9145881 14.2397495, 120.9145765 14.2397587, 120.9145617 14.2397604, 120.9145497 14.2397555, 120.9145414 14.2397456, 120.9145389 14.2397331)"
1006615663,water_tower,,,water_tank,,"LINESTRING (120.9560801 14.1097889, 120.9560937 14.1097925, 120.9561026 14.1098032, 120.9561033 14.1098169, 120.9560955 14.1098284, 120.9560823 14.1098332, 120.9560686 14.1098296, 120.9560598 14.1098189, 120.9560591 14.1098052, 120.9560669 14.1097937, 120.9560801 14.1097889)"
6542761094,storage_tank,,,,,POINT (120.95583560000001 14.112074900000001)
1815552409,water_tower,,,,,POINT (120.9497874 14.116650600000002)
419177162,water_tower,,,,,"LINESTRING (120.9566815 14.1478269, 120.9566899 14.1478212, 120.9567 14.1478191, 120.9567101 14.1478209, 120.9567187 14.1478263, 120.9567245 14.1478343, 120.9567267 14.1478439, 120.956725 14.1478535, 120.9567197 14.1478619, 120.9567116 14.1478676, 120.9567018 14.14787, 120.9566915 14.1478685, 120.9566826 14.1478633, 120.9566765 14.1478551, 120.9566742 14.1478453, 120.9566759 14.1478354, 120.9566815 14.1478269)"
6601803328,,,,fire_hydrant,,POINT (120.94519790000001 14.206215400000001)
11930880532,,,,fire_hydrant,,POINT (120.94906030000001 14.251231800000001)
5141142828,,,,fire_hydrant,,POINT (120.94323100000001 14.2640857)
5141165326,,,,fire_hydrant,,POINT (120.94325500000001 14.2649582)
5144583622,,,,fire_hydrant,,POINT (120.94185130000001 14.267574100000001)
5258777222,,,,fire_hydrant,,POINT (120.94182900000001 14.276359000000001)
672297869,water_tower,,,water_tank,,"LINESTRING (120.8792345 14.2501603, 120.8792365 14.2501731, 120.8792436 14.2501841, 120.8792546 14.2501915, 120.8792745 14.2501933, 120.8792917 14.2501836, 120.8793001 14.2501661, 120.8792966 14.2501471, 120.8792823 14.2501335, 120.8792626 14.2501304, 120.8792487 14.2501357, 120.8792386 14.2501464, 120.8792345 14.2501603)"
683803278,water_tower,,,,,"LINESTRING (120.8787074 14.2533265, 120.8786758 14.2533205, 120.8786959 14.2532041, 120.8787706 14.253213, 120.878759 14.2533325, 120.8787074 14.2533265)"
410129922,water_tower,,,,,"LINESTRING (120.8266932 14.2548307, 120.8266894 14.2548196, 120.8266814 14.2548108, 120.8266705 14.2548057, 120.8266585 14.2548052, 120.8266472 14.2548093, 120.8266384 14.2548173, 120.8266336 14.2548281, 120.8266335 14.2548398, 120.8266377 14.2548499, 120.8266455 14.2548579, 120.8266558 14.2548625, 120.826667 14.2548632, 120.8266782 14.2548596, 120.826687 14.2548521, 120.8266923 14.254842, 120.8266932 14.2548307)"
917839652,water_tower,,,,,POINT (120.8979518 14.258270000000001)
1318877344,water_tower,,,,,"LINESTRING (120.8659939 14.2647803, 120.8659771 14.264727, 120.8660273 14.2647121, 120.8660441 14.2647654, 120.8659939 14.2647803)"
997070632,water_tower,,,water_tank,,"LINESTRING (120.8919018 14.2671698, 120.8919097 14.2671546, 120.8919243 14.2671452, 120.8919418 14.267144, 120.8919577 14.2671513, 120.8919678 14.2671652, 120.8919695 14.2671821, 120.8919618 14.2671984, 120.8919464 14.2672085, 120.8919279 14.2672094, 120.8919122 14.2672014, 120.8919026 14.2671869, 120.8919018 14.2671698)"
997069038,water_tower,,,water_tank,,"LINESTRING (120.889005 14.2697764, 120.8890111 14.2697584, 120.8890259 14.269746, 120.8890452 14.269743, 120.8890633 14.2697501, 120.8890749 14.2697653, 120.8890767 14.2697842, 120.8890694 14.2697997, 120.8890553 14.2698101, 120.8890378 14.2698128, 120.8890208 14.2698068, 120.8890088 14.2697936, 120.889005 14.2697764)"
12878462399,storage_tank,,,,,POINT (120.87704550000001 14.2711582)
997077276,water_tower,,,water_tank,,"LINESTRING (120.8867878 14.2732315, 120.8867939 14.2732134, 120.8868087 14.2732011, 120.886828 14.2731981, 120.8868461 14.2732052, 120.8868578 14.2732204, 120.8868596 14.2732393, 120.8868522 14.2732548, 120.8868381 14.2732652, 120.8868207 14.2732678, 120.8868036 14.2732619, 120.8867916 14.2732487, 120.8867878 14.2732315)"
1070562197,water_tower,,,,,POINT (120.90088490000001 14.276286)
