TC_Event_No,Total_Economic_Impact_USD
1980076N06148,0.32032620635783216
1980126N08150,1.8253373408366929
1980137N04158,0.07933550665512346
1980171N06142,0.0
1980181N10130,0.0
1980197N07154,6.9518678034710275
1980197N15133,0.0
1980201N08155,6.9630683087932255
1980225N11145,0.0
1980296N05165,17.861772133919448
1980300N08137,0.0
1980317N09118,0.0
1980349N10138,0.0
1981176N08150,0.0
1981178N05160,0.06822002337834494
1981256N10150,53.28019572640048
1981283N07132,0.0
1981311N08119,0.0
1981317N14153,0.05308187961791379
1981319N07163,185.2400061031652
1981343N05150,0.0
1981355N07149,3.154726341113198
1982073N07153,0.0
1982077N04161,0.13968027287590948
1982190N09148,0.5116342604634656
1982227N09140,3.120322860475555
1982246N16119,0.0
1982248N14133,30.422570880343784
1982283N17148,0.1898928978651834
1982325N08176,0.13836257763450335
1982339N07139,0.0
1983167N05145,0.0
1983186N04153,1.2152714071695343
1983188N06136,0.0
1983220N16111,0.0
1983239N10183,0.0
1983276N06130,0.0
1983279N04140,0.0
1983282N09155,0.0
1983287N09164,0.0
1983301N11119,0.0
1983317N12153,0.5943243414693123
1983321N11111,1.0557113086812269
1984180N16130,0.0
1984184N06139,0.0
1984220N03145,0.0
1984238N18137,0.02384745299362099
1984239N08146,0.13554001133127205
1984267N18120,0.0
1984291N13130,0.009084365071995634
1984299N18127,0.0
1984302N00149,17.555557226393635
1984313N14154,0.4352289143922264
1985162N05154,2.2551434588984645
1985183N08136,0.0
1985240N08148,0.0
1985267N08133,0.0
1985268N16126,0.0
1985281N02144,0.0
1985284N05159,6.970677613268741
1985294N10122,0.0
1986094N06138,0.0
1986179N11175,155.10254283873226
1986228N19120,0.118262936656856
1986275N10134,0.0
1986276N07177,0.17105644720606722
1986287N09141,0.22627768025674774
1986302N05178,0.0
1986309N07162,0.01019467401124631
1986316N06146,0.0
1986343N05176,214.0465656737107
1986353N03178,0.0
1987219N08134,0.10129458237247435
1987219N08155,0.004938258684207079
1987245N17120,0.0
1987288N13168,9.119827397764038
1987311N10148,0.0
1987320N03171,61.90327347963748
1987325N13126,0.0
1987343N05154,0.08000667774030097
1988005N03174,0.0035284543483284354
1988150N19119,0.0
1988177N07137,0.0
1988193N09149,4.199599122507621
1988263N15126,0.0
1988271N16125,0.0
1988290N08145,0.03444161851323104
1988295N10138,145.4108237685994
1988306N15130,0.0308650674435537
1988307N09131,0.08089277004591341
1988308N09140,45.043139252500225
1988356N05142,0.25892563612067
1989010N16212,0.0
1989026N11127,0.09446942522773454
1989134N07138,13.399366921113398
1989153N04144,0.0
1989187N15132,0.0
1989190N20160,5.760996931983735
1989199N05139,0.0
1989271N12142,0.09143531785432459
1989272N18120,0.0
1989279N07151,38.83053207409008
1989286N14137,6.536847499270338
1989314N10152,2.489172669053417
1990129N05138,0.0
1990140N09122,0.0
1990163N08133,0.0
1990166N06141,0.043798367360010686
1990171N11148,1.3876814967514866
1990202N13130,0.0
1990232N13141,0.0
1990250N13157,7.327281753626593
1990272N11121,0.0
1990283N15129,0.0
1990310N07152,85.20144107216748
1990312N12121,0.0
1990319N07197,0.037995635247869364
1991062N04156,0.0
1991111N04145,0.0
1991163N11128,0.026134124641705732
1991187N06139,0.2925229916877049
1991196N06153,0.2058651641210434
1991220N10133,0.0
1991244N19126,0.0
1991257N16130,0.0
1991289N06156,92.82401388550687
1991301N08173,5.187410282565001
1991304N08140,0.0
1991317N09141,0.0
1992174N13126,0.0
1992188N07156,0.0
1992194N07140,0.0
1992198N13135,0.03035445349552892
1992259N11159,0.39707958774595015
1992289N08135,1.4920116239272738
1992314N08141,0.10922934425849515
1993059N05136,0.0
1993096N08148,0.0
1993105N06165,0.0
1993164N04160,18.69190297605993
1993166N06131,0.0
1993185N09137,0.0
1993193N08144,0.0
1993224N07153,0.0
1993231N09134,0.0
1993250N17119,0.0
1993253N06150,0.0
1993261N11131,0.0
1993271N14134,0.12479437282832188
1993279N12114,0.0
1993298N11154,8.655087112946806
1993317N08149,0.0
1993322N09137,0.05759621112419918
1993331N05172,15.306184938245526
1993336N05164,0.0
1993353N05159,3.5919478392311657
1994001N05156,0.0
1994088N09148,1.4950872970381122
