Year,Average_Economic_Impact_USD
1980,2.6155159461564113
1981,26.866247785963903
1982,3.8358293055176
1983,0.23877558811000613
1984,1.815925797018275
1985,1.1532276340209007
1986,33.606809113688534
1987,8.901167549524812
1988,16.255184640839914
1989,5.6002350698827525
1990,7.230630640396418
1991,8.211328870710194
1992,0.289810715632464
1993,2.321375672521797
1994,0.8788388356189943
1995,4.453723503543477
1996,1.9105479005729882
1997,3.6784583238348
1998,7.7525338835858895
1999,0.057108397541557755
2000,2.5456905034078443
2001,1.6861885781079369
2002,0.014900500418832193
2003,1.930208748918228
2004,5.676695462666067
2005,0.0683203917090076
2006,8.098435752983455
2007,1.6288956454286807
2008,3.7849464690587564
2009,0.47058704026729303
2010,6.649629339628146
2011,1.4428436652200096
2012,0.08713830184157159
2013,16.774736296026006
2014,12.421097228537453
2015,9.314913464524857
2016,8.487497384386439
2017,0.08389944113409514
2018,17.577340520271623
2019,37.68125702882591
2020,2.4700928289480144
2021,4.807119058450853
2022,1.0984296908406137
2023,10.01426349899165
2024,3.0165022006752222
