TC_Event_No,Total_Economic_Impact_USD
1980076N06148,8007.591675886177
1980126N08150,6108.962022716416
1980137N04158,5127.708404946699
1980171N06142,5047.047089191449
1980181N10130,7142.90114256765
1980197N07154,11702.363464168762
1980197N15133,3575.935793302241
1980201N08155,13491.692506219744
1980225N11145,2883.1524232105266
1980296N05165,21619.269459453113
1980300N08137,3398.556111068114
1980317N09118,3657.8184769675545
1980349N10138,6418.04224805903
1981176N08150,4178.1317295657245
1981178N05160,5963.841013258916
1981256N10150,13069.481433249592
1981283N07132,4552.054148943282
1981311N08119,3427.237910658767
1981317N14153,5673.147550926726
1981319N07163,36172.80789044408
1981343N05150,4702.155366484556
1981355N07149,9161.954132973438
1982073N07153,5965.336343444918
1982077N04161,7969.882904044394
1982190N09148,11340.047707693084
1982227N09140,11553.54469267522
1982246N16119,4638.133959372225
1982248N14133,20211.673864223503
1982283N17148,3821.983127125319
1982325N08176,8262.290946064937
1982339N07139,4473.881989577774
1983167N05145,3366.0156162045323
1983186N04153,13897.744268693386
1983188N06136,3791.0258075949705
1983220N16111,4605.416097719231
1983239N10183,1654.0501604391343
1983276N06130,2836.5671101192006
1983279N04140,5891.841728576757
1983282N09155,3157.7008560683234
1983287N09164,1741.5071868418313
1983301N11119,1320.7636465928374
1983317N12153,4640.7987937457
1983321N11111,5312.929928183992
1984180N16130,2537.095148393961
1984184N06139,2440.666238391482
1984220N03145,3523.018098652281
1984238N18137,10553.715108002143
1984239N08146,6736.942241711029
1984267N18120,610.1451662598772
1984291N13130,5496.335265285457
1984299N18127,3240.0450108555756
1984302N00149,14187.459493553815
1984313N14154,6796.142378964694
1985162N05154,10913.35209154852
1985183N08136,6265.103290268278
1985240N08148,8192.665876458732
1985267N08133,901.4498032646576
1985268N16126,1433.1122049476635
1985281N02144,4350.302785748893
1985284N05159,17239.65485652445
1985294N10122,4774.008445143828
1986094N06138,4536.101412287646
1986179N11175,22836.890588510498
1986228N19120,7805.120095967286
1986275N10134,3448.258703993237
1986276N07177,10475.181994489343
1986287N09141,9885.176186721766
1986302N05178,3438.41293260347
1986309N07162,8044.661196961988
1986316N06146,2972.419465369481
1986343N05176,33774.235000258384
1986353N03178,5319.6971060844535
1987219N08134,8379.19821368488
1987219N08155,7434.522865692895
1987245N17120,3550.1151759196455
1987288N13168,10722.844606651757
1987311N10148,4057.6748527459217
1987320N03171,27938.79030939578
1987325N13126,2952.6544144830423
1987343N05154,8453.682665129458
1988005N03174,7855.2172160121045
1988150N19119,3020.6330415305247
1988177N07137,3096.301234942499
1988193N09149,7009.555559982903
1988263N15126,3186.216438323243
1988271N16125,2192.9435461786647
1988290N08145,4198.341885827402
1988295N10138,45987.42180223427
1988306N15130,7782.455433130828
1988307N09131,8619.039692688344
1988308N09140,23820.128624751236
1988356N05142,7786.975171764821
1989010N16212,3048.3893295334174
1989026N11127,7854.510599481494
1989134N07138,20840.95209717853
1989153N04144,7803.660546274689
1989187N15132,1062.3404669703677
1989190N20160,11016.99305304836
1989199N05139,3836.4106533179092
1989271N12142,4842.556678133201
1989272N18120,812.9209214372705
1989279N07151,23719.424980059564
1989286N14137,13300.41754860421
1989314N10152,6849.152967853881
1990129N05138,4264.282331008092
1990140N09122,3107.503578386918
1990163N08133,5349.366936061373
1990166N06141,9446.86507802947
1990171N11148,7356.088865987791
1990202N13130,4193.215856042005
1990232N13141,9974.216189384722
1990250N13157,5823.717752536764
1990272N11121,2362.252288127023
1990283N15129,1811.69342562138
1990310N07152,37163.85373413075
1990312N12121,2030.3129386731734
1990319N07197,7176.564723319643
1991062N04156,7549.728845449172
1991111N04145,4494.767096649872
1991163N11128,7680.216954328074
1991187N06139,7746.176182486099
1991196N06153,5946.354428273234
1991220N10133,5341.584359404722
1991244N19126,3055.9412954546488
1991257N16130,5681.102177178096
1991289N06156,22648.71527854933
1991301N08173,3586.925699465128
1991304N08140,5283.396951379098
1991317N09141,5389.662418241347
1992174N13126,4233.85813794283
1992188N07156,4131.073925910356
1992194N07140,2319.636917738277
1992198N13135,5465.87228928331
1992259N11159,6957.5154031431175
1992289N08135,11624.49959481404
1992314N08141,6154.246742035384
1993059N05136,5305.517672945074
1993096N08148,4620.790230478226
1993105N06165,3293.8973772856143
1993164N04160,14680.580185613244
1993166N06131,2173.9129671045835
1993185N09137,3504.0711432524795
1993193N08144,713.1355915925744
1993224N07153,2839.5649077770227
1993231N09134,3858.5797448093094
1993250N17119,2019.4121110509473
1993253N06150,2769.4389500188718
1993261N11131,1788.0540236812521
1993271N14134,10680.033385083696
1993279N12114,5068.167560711699
1993298N11154,15131.068158327744
1993317N08149,3148.5621203515393
1993322N09137,7779.819554999034
1993331N05172,16315.06284261529
1993336N05164,5759.501550069489
1993353N05159,15633.549732635725
1994001N05156,5595.224349653721
1994088N09148,10050.348212030223
1994134N05161,3263.1035444805725
1994169N06152,3450.7202679546645
1994181N17137,2559.342302269095
1994189N16117,8323.888663008198
1994192N05139,3149.5364956864923
1994197N14115,6018.154759585057
1994232N10144,2407.304262164942
1994250N14133,5785.838276845661
1994287N14156,7715.501715896197
1994345N06165,15434.984413318689
1995148N07150,5644.757039215312
1995206N15133,3895.142673930285
1995209N17122,5090.30841374747
1995215N12145,2131.0744639573204
1995225N12124,1825.3833382604992
1995236N10134,2381.2107197909227
1995244N08139,4240.68603842035
1995247N05144,2326.172680413944
1995252N08142,4104.522371209516
1995262N04161,2142.2078437646705
1995264N06174,16951.470080149134
1995276N13124,2373.5081512373717
1995277N07141,1846.166817564531
1995292N08150,2176.5632179165696
1995293N05177,31877.17462584417
1995294N05163,5522.70324314545
1995334N09129,5733.752897597862
1996058N06137,7969.328515401806
1996090N04150,5160.083644634151
1996137N13111,811.353009014414
1996201N07137,10973.940747170296
1996227N08156,1731.9733579351516
1996246N08148,2866.901053318356
1996250N08148,3419.7237001128356
1996282N11162,2392.0805753478153
1996283N12133,1880.275544118367
1996299N11121,1515.390126456946
1996303N07155,9920.600664852176
1996305N11121,2614.94941694947
1996312N14125,11662.165613660625
1996328N08151,7608.651797177563
1996356N08110,4630.474865754562
1997143N17111,6427.161942261864
1997210N15120,2859.707224525454
1997283N07177,8489.41358956309
1997298N06140,3729.366679787644
1997311N10151,2094.4739778655003
1998217N10130,1384.6920297308552
1998259N17118,5329.978527615809
1998281N11151,13001.518383268558
1998285N12149,28354.845885210572
1998327N09126,3723.2697676162034
1998342N06141,15380.270813546702
1998351N11125,2821.466440204671
1999096N10136,2014.901289258987
1999111N08126,2941.4961981396596
1999230N12129,7029.481029118855
1999241N12133,4067.5983367494073
1999253N17124,6537.269329081872
1999275N16135,4616.167532602964
1999288N12129,3454.0931047361846
1999310N09138,8814.243257257362
1999342N08116,3732.104029634064
2000138N16119,4544.449740593798
2000141N18116,797.2585996726104
2000185N15117,7540.813224585607
2000193N10131,4733.10302993967
2000196N16122,6063.429178846887
2000248N18126,6585.4046979291315
2000299N08139,22240.34995607709
2000305N06136,4861.871656338166
2000332N08133,11526.861457187442
2000334N08130,10261.884349422082
2001047N09134,6891.851764977651
2001125N05129,5323.479972448301
2001170N11138,4881.007459070569
2001181N08141,18381.62025086779
2001204N19127,1230.035555813089
2001228N15118,7350.51797357809
2001264N21126,5377.850632831491
2001309N10130,15153.928135152762
2001323N05107,4874.159016016802
2001338N10130,10734.809715458405
2002008N07141,4485.684463199779
2002078N04138,4607.136970271645
2002199N08130,8350.321697771073
2002214N19120,1537.7505261409403
2002222N11131,9252.626500572693
2002252N20121,1627.1160355888917
2003144N16119,8069.382349248404
2003158N08156,6712.510404027589
2003196N05150,19892.544366164202
2003196N11137,6651.194802415384
2003226N07156,3687.897209970875
2003294N11112,4775.025231529347
2003302N11133,3145.4609795543956
2003316N11141,10248.480981226705
2003357N11142,8655.918875439856
2004074N03143,4706.456467372889
2004134N07132,11527.767449190427
2004158N07142,2849.954723670916
2004174N14146,14326.737577754488
2004319N10134,9004.195499042704
2004327N16125,2656.599622171915
2004333N06154,15621.174717595437
2005071N06152,5214.351434969092
2005222N14131,6912.9328553857795
2005257N15120,1615.0496155898636
2005262N13127,7244.5902105582945
2005311N08140,2443.327877356066
2005316N05134,2863.4948529394724
2005350N08127,9097.433614510217
2006128N09138,18177.656439365986
2006174N08135,2399.419201702768
2006209N13130,4608.762177950372
2006268N12129,10242.310028453094
2006298N12143,4471.415824355229
2006311N16143,3125.666914500489
2006329N06150,23754.342419198183
2006340N08142,14210.46174610893
2006349N08157,4439.798260488313
2007265N20122,3055.4686456705736
2007272N17125,7714.443546575587
2007306N18133,3442.714335035421
2007323N09128,15596.345586177458
2007324N10140,8805.788936905661
2008012N12123,3013.865199809579
2008104N08128,5024.409864994117
2008135N12116,7532.711081042665
2008169N08135,19412.131158039258
2008217N19120,2236.609847677253
2008229N13147,5446.316980848789
2008238N13130,1740.0994704612228
2008262N16142,11392.414241369466
2008272N08139,3510.8792271525203
2008311N08128,3938.6852829526842
2008320N08122,3849.281903138408
2009121N13124,5354.924309263766
2009123N10111,5512.871488558743
2009164N10131,3699.617092569476
2009173N10132,7500.13190927114
2009189N17129,3709.5298965612283
2009196N14129,6226.889711051797
2009213N16130,8941.948402154248
2009251N16118,2458.0321401377782
2009254N14130,3273.9939877558736
2009268N14128,12056.634155401785
2009270N10148,10584.982893562352
2009299N12153,9728.851121628712
2009324N06129,4479.6347290070535
2010191N12138,5279.987679295856
2010198N15123,1746.9892516264665
2010285N13145,14716.68948840379
2011126N11129,8879.395992978456
2011159N13122,4617.79900928712
2011167N08129,2290.1520176302856
2011205N12130,10119.301437873635
2011233N12129,9557.327488684916
2011266N13139,16707.314993842163
2011270N18139,9976.88898781507
2011282N08136,6451.78792172335
2011346N03156,8410.813250529938
2012046N08130,3507.4771573892826
2012177N11135,4280.2427817761045
2012201N15129,3866.736143997391
2012225N16133,7478.395526192155
2012296N06135,10032.655751025468
2012317N07118,4432.636023808353
2012331N03157,10205.270556366613
2012359N08134,8912.285222224029
2013001N04141,7103.207547641096
2013049N05131,7576.589699648908
2013178N09133,6350.448558327197
2013196N14128,2266.435049110867
2013210N13122,2897.4407523403306
2013217N11118,2831.9412653771356
2013220N12137,7505.577316630881
2013282N14132,9003.575874388705
2013301N13142,6290.354349134121
2013305N07141,4205.583545150169
2013306N07162,40254.380282151935
2013316N06130,5361.756755059493
2014029N10143,8109.001404708593
2014080N08128,7472.660478881187
2014190N08154,24325.368044720468
2014254N10142,8999.106725986783
2014260N13135,11320.696208990968
2014329N08131,6049.6442490351565
2014334N02156,25088.624059545742
2014362N07130,10072.46857747173
2015012N09146,15339.991400243565
2015069N04173,2549.988543553739
2015085N06162,3437.22336493678
2015122N07144,5151.696031138959
2015183N13130,9239.108422840174
2015203N16126,1945.8751931616032
2015226N12151,14273.688150030175
2015273N12130,4794.33869807331
2015285N14151,22150.69258827172
2015344N07145,10688.671193240536
2015348N04146,6738.719830777143
2016211N11128,6099.090222571703
2016279N19130,1804.2497051122946
2016287N12131,11374.948170840962
2016288N06146,17758.51647279999
2016328N09130,7949.6670766599345
2016355N07146,9171.667780763217
2017008N08128,6919.646928026985
2017104N11130,4153.9829671670705
2017161N13119,2092.2271649796085
2017202N19124,1496.6222147054084
2017232N19130,2843.114335461232
2017236N15129,3114.0340265813456
2017242N19122,4853.050030251708
2017247N16132,757.0676830503064
2017253N14130,7927.712007438958
2017284N15134,6304.112425568558
2017291N09116,4796.305518620502
2017304N11127,5044.921215904052
2017312N10134,4845.0552711187665
2017321N07124,4139.7419036003375
2017347N11131,12093.399733079234
2017354N08134,10174.008958814968
2017364N07138,10223.053264056576
2018039N08151,10437.172107428334
2018195N19138,4969.782661726307
2018202N18116,6382.895418891771
2018250N12170,25049.673202356946
2018294N08161,13280.797559126717
2018311N07179,5989.865721823603
2018358N07140,10537.857152339442
2019004N03175,6689.498748053433
2019071N04161,3816.9817953621805
2019195N13136,7427.045205311188
