Year,Average_Economic_Impact_USD
1980,7552.387755212113
1981,9655.645686278342
1982,8692.97505935793
1983,4351.363433398325
1984,5612.156415007032
1985,6758.706169238128
1986,10230.559516658868
1987,9186.185387962922
1988,10379.602470613903
1989,8748.977486824408
1990,7696.917976716086
1991,7033.714307238235
1992,5840.957572981045
1993,6354.135990520171
1994,6146.162271907793
1995,5897.812036245022
1996,5010.5261754603025
1997,4720.02468280071
1998,9999.434549599053
1999,4800.817122953262
2000,7915.542589059248
2001,8019.926047621494
2002,4976.77269892417
2003,7982.046133286307
2004,8670.412293828396
2005,5055.882923044112
2006,9492.203668013706
2007,7722.95221007294
2008,6099.764023407814
2009,6425.233987455688
2010,7247.888806442038
2011,8556.753455596103
2012,6589.462395347425
2013,8470.607582913404
2014,12679.69621866758
2015,8755.453946933429
2016,9026.356571458016
2017,5398.709155789743
2018,10949.720546241875
2019,10120.14630056583
2020,6088.6637063558555
2021,7699.76019756493
2022,6131.937003050125
2023,8478.073559901577
2024,7459.707739020378
